old-1
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 8104 	 8520 	 1433
1789_10_03_3447.huff 	 2699 	 2500 	 435
1790_01_08_3448.huff 	 5295 	 5197 	 848
1790_12_08_3449.huff 	 7799 	 8256 	 1400
1790_12_29_3450.huff 	 5984 	 7727 	 1401
1791_10_25_3451.huff 	 10596 	 13669 	 2267
1792_04_05_3452.huff 	 975 	 966 	 156
1792_11_06_3938.huff 	 10879 	 13927 	 2358
1792_12_12_3453.huff 	 1586 	 1122 	 190
1793_03_04_3454.huff 	 1143 	 776 	 136
1793_04_22_3455.huff 	 1633 	 1395 	 237
1793_12_03_3456.huff 	 10490 	 11444 	 1973
1794_08_07_3721.huff 	 6467 	 7626 	 1284
1794_09_25_3458.huff 	 4484 	 3992 	 653
1794_11_19_3459.huff 	 15130 	 17327 	 2927
1795_07_10_3460.huff 	 2182 	 2314 	 382
1795_12_08_3939.huff 	 10763 	 11992 	 1977
1796_03_30_3461.huff 	 5075 	 6261 	 1065
1796_08_29_3941.huff 	 6570 	 8537 	 1602
1796_09_19_3462.huff 	 23256 	 36045 	 6074
1796_12_07_3463.huff 	 13209 	 17030 	 2865
1797_03_04_3445.huff 	 10818 	 13603 	 2322
1797_05_16_3464.huff 	 12989 	 18104 	 3025
1797_11_22_3465.huff 	 9527 	 12172 	 2049
1798_03_23_3942.huff 	 4124 	 3910 	 655
1798_12_08_3466.huff 	 10809 	 13185 	 2218
1799_12_03_3467.huff 	 7831 	 9010 	 1494
1799_12_19_3943.huff 	 6670 	 7302 	 1265
1800_05_21_3944.huff 	 1947 	 1740 	 291
1800_11_22_3468.huff 	 7289 	 8215 	 1374
1801_03_04_3469.huff 	 9253 	 9923 	 1732
1801_07_12_3470.huff 	 6448 	 6877 	 1211
1801_12_08_3471.huff 	 14254 	 19077 	 3235
1802_01_01_3473.huff 	 1807 	 1400 	 234
1802_11_03_3474.huff 	 4792 	 4891 	 914
1802_12_15_3475.huff 	 10384 	 12351 	 2125
1803_01_18_3476.huff 	 7215 	 7605 	 1284
1803_06_20_3477.huff 	 10824 	 13360 	 2345
1803_10_17_3478.huff 	 11051 	 13931 	 2301
1803_12_17_3479.huff 	 5276 	 5859 	 1140
1804_11_08_3480.huff 	 9754 	 12375 	 2100
1805_03_04_3491.huff 	 10656 	 12609 	 2152
1805_12_03_3493.huff 	 12894 	 16679 	 2902
1805_12_06_3492.huff 	 5533 	 5803 	 993
1806_01_10_3494.huff 	 4375 	 4381 	 847
1806_11_27_3722.huff 	 2556 	 2562 	 425
1806_12_02_3495.huff 	 12576 	 16947 	 2881
1806_12_30_3496.huff 	 4962 	 5982 	 1175
1807_01_22_3497.huff 	 10475 	 14464 	 2478
1807_02_10_3498.huff 	 6142 	 6567 	 1143
1807_07_02_3499.huff 	 5857 	 6817 	 1174
1807_10_27_3500.huff 	 11203 	 13939 	 2373
1808_11_08_3501.huff 	 12405 	 16092 	 2710
1809_03_04_3482.huff 	 7081 	 6905 	 1177
1809_04_03_3502.huff 	 2328 	 1863 	 337
1809_05_23_3607.huff 	 6176 	 6514 	 1116
1809_11_29_3608.huff 	 9169 	 10868 	 1832
1810_10_27_3610.huff 	 3708 	 3654 	 624
1810_12_05_3609.huff 	 11686 	 14772 	 2451
1811_02_21_3611.huff 	 2163 	 2062 	 335
1811_11_05_3613.huff 	 10990 	 13690 	 2275
1812_06_01_3614.huff 	 12320 	 17228 	 2851
1812_06_19_3615.huff 	 1949 	 1674 	 289
1812_07_09_3616.huff 	 2224 	 1808 	 311
1812_11_04_3619.huff 	 14911 	 19251 	 3251
1813_03_04_3620.huff 	 7038 	 7055 	 1211
1813_05_25_3621.huff 	 10444 	 12168 	 2111
1813_07_23_3622.huff 	 4867 	 4624 	 799
1813_12_07_3623.huff 	 14334 	 19136 	 3262
1814_09_01_3624.huff 	 4554 	 4141 	 696
1814_09_20_3625.huff 	 10986 	 12363 	 2115
1815_01_30_3626.huff 	 5955 	 7358 	 1281
1815_02_18_3627.huff 	 5209 	 4958 	 829
1815_12_05_3628.huff 	 14146 	 19107 	 3186
1816_12_03_3629.huff 	 14484 	 19976 	 3370
1817_03_03_3630.huff 	 3847 	 4856 	 815
1817_03_04_3483.huff 	 13336 	 19556 	 3379
1817_12_02_3594.huff 	 16014 	 25759 	 4447
1818_11_16_3596.huff 	 16208 	 25970 	 4378
1819_12_07_3597.huff 	 15530 	 27356 	 4711
1820_11_14_3598.huff 	 14183 	 20068 	 3464
1821_03_05_3601.huff 	 16437 	 25884 	 4482
1821_07_04_3484.huff 	 2933 	 2603 	 447
1821_12_03_3602.huff 	 17543 	 33708 	 5858
1822_12_03_3603.huff 	 16852 	 27660 	 4765
1823_12_02_3604.huff 	 21117 	 37578 	 6423
1824_12_07_3606.huff 	 23011 	 48968 	 8444
1825_03_04_3513.huff 	 13147 	 17489 	 2917
1825_12_06_3514.huff 	 27994 	 53039 	 9088
1826_12_05_3515.huff 	 24041 	 45626 	 7848
1827_12_04_3516.huff 	 23993 	 41545 	 7058
1828_12_02_3517.huff 	 24019 	 43365 	 7391
1829_03_04_3485.huff 	 6800 	 6722 	 1128
1829_05_11_3631.huff 	 1976 	 2348 	 402
1829_12_08_3632.huff 	 30911 	 61903 	 10568
1830_10_05_3633.huff 	 2562 	 4812 	 846
1830_12_06_3634.huff 	 36482 	 88827 	 15043
1831_12_06_3635.huff 	 23455 	 42221 	 7211
1832_07_10_3636.huff 	 20074 	 46421 	 8138
1832_12_04_3637.huff 	 25143 	 46153 	 7903
1833_03_04_3639.huff 	 6410 	 6946 	 1176
1833_12_03_3640.huff 	 22836 	 46194 	 7930
1834_12_01_3641.huff 	 34605 	 79060 	 13514
1835_12_07_3642.huff 	 29753 	 63520 	 10864
1836_12_05_3643.huff 	 32030 	 72318 	 12428
1837_03_04_3486.huff 	 17166 	 23066 	 3846
1837_03_04_3644.huff 	 24754 	 47766 	 8254
1837_09_04_3724.huff 	 28587 	 69051 	 11785
1837_12_05_3589.huff 	 31458 	 67914 	 11513
1838_01_05_3725.huff 	 2442 	 2348 	 396
1838_12_03_3591.huff 	 31749 	 68824 	 11558
1839_12_02_3592.huff 	 35022 	 78957 	 13492
1840_12_05_3593.huff 	 28379 	 54157 	 9014
1841_01_02_3726.huff 	 4553 	 5047 	 882
1841_03_04_3548.huff 	 24811 	 48991 	 8465
1841_12_07_3549.huff 	 26971 	 48129 	 8295
1845_03_04_3550.huff 	 17210 	 28267 	 4814
1849_03_05_3551.huff 	 6534 	 6504 	 1091
1850_12_02_3552.huff 	 27476 	 49039 	 8373
1852_07_06_3487.huff 	 20308 	 60149 	 10878
1853_03_04_3553.huff 	 15289 	 19750 	 3342
1853_12_05_3728.huff 	 30959 	 57134 	 9677
1854_01_18_3727.huff 	 1902 	 1619 	 271
1854_10_16_3503.huff 	 32398 	 181760 	 33420
1854_12_04_3729.huff 	 32536 	 60991 	 10213
1855_12_31_3730.huff 	 32843 	 69350 	 11672
1856_12_02_3731.huff 	 30960 	 62898 	 10567
1857_03_04_3554.huff 	 12090 	 16532 	 2836
1857_12_08_3732.huff 	 34295 	 80636 	 13775
1858_06_16_3504.huff 	 11961 	 17778 	 3226
1858_12_06_3733.huff 	 38851 	 96899 	 16505
1859_12_19_3734.huff 	 32762 	 72729 	 12513
1860_02_27_3505.huff 	 16027 	 34825 	 6164
1860_12_03_3735.huff 	 34840 	 82815 	 14150
1861_02_11_3506.huff 	 1243 	 776 	 152
1861_03_04_3507.huff 	 13346 	 41212 	 7272
1861_07_04_3508.huff 	 19082 	 71328 	 12572
1861_12_03_3736.huff 	 24731 	 40806 	 7052
1862_12_01_3737.huff 	 27767 	 48876 	 8550
1863_01_01_3509.huff 	 3486 	 4146 	 711
1863_08_26_3510.huff 	 7821 	 17822 	 3396
1863_11_19_3511.huff 	 1780 	 1421 	 272
1863_12_08_3738.huff 	 23421 	 36487 	 6221
1864_12_06_3739.huff 	 23618 	 34799 	 5997
1865_03_04_3512.huff 	 4513 	 3849 	 705
1865_12_04_3555.huff 	 28667 	 53861 	 9294
1869_03_04_3556.huff 	 6309 	 6379 	 1132
1869_12_06_3740.huff 	 25281 	 45152 	 7777
1870_12_05_3741.huff 	 28986 	 51175 	 8847
1871_12_04_3742.huff 	 23043 	 38083 	 6476
1872_12_02_3743.huff 	 31786 	 60356 	 10410
1873_03_04_3557.huff 	 7078 	 7578 	 1341
1873_12_01_3744.huff 	 31570 	 59270 	 10156
1874_12_07_3745.huff 	 29453 	 57804 	 9889
1875_12_07_3746.huff 	 34422 	 71928 	 12324
1876_12_05_3747.huff 	 23370 	 40126 	 6860
1877_03_05_3558.huff 	 10926 	 14676 	 2494
1877_12_03_3748.huff 	 31763 	 63915 	 10862
1878_12_02_3749.huff 	 27611 	 47668 	 8037
1879_12_01_3750.huff 	 33028 	 69987 	 11801
1880_12_06_3751.huff 	 38757 	 80960 	 13593
1881_03_04_3559.huff 	 13281 	 17494 	 2993
1881_12_06_3560.huff 	 41999 	 80527 	 13710
1882_12_04_3752.huff 	 35104 	 61739 	 10519
1883_12_04_3753.huff 	 31234 	 51361 	 8681
1884_12_01_3754.huff 	 31933 	 54237 	 9112
1885_03_04_3571.huff 	 8763 	 9990 	 1691
1885_12_08_3755.huff 	 51632 	 119104 	 19979
1886_12_06_3756.huff 	 42434 	 91414 	 15374
1887_12_06_3757.huff 	 18753 	 31173 	 5365
1888_12_03_3758.huff 	 41885 	 80055 	 13434
1889_03_04_3561.huff 	 17853 	 25858 	 4407
1889_12_03_3765.huff 	 36880 	 76723 	 13143
1890_12_01_3766.huff 	 34249 	 68497 	 11675
1891_12_09_3767.huff 	 41332 	 95438 	 16536
1892_12_06_3768.huff 	 38357 	 80454 	 14111
1893_03_04_3572.huff 	 10868 	 12214 	 2028
1893_08_08_3759.huff 	 10096 	 12221 	 2104
1893_12_04_3760.huff 	 41875 	 75480 	 12681
1894_12_03_3762.huff 	 46785 	 96239 	 16370
1895_12_02_3763.huff 	 41579 	 88452 	 14868
1896_12_07_3764.huff 	 45508 	 93353 	 15901
1897_03_04_3562.huff 	 16299 	 23247 	 3977
1897_12_06_3769.huff 	 35190 	 71532 	 12225
1898_12_05_3770.huff 	 53716 	 121684 	 20533
1899_12_05_3771.huff 	 55771 	 137444 	 23065
1900_12_03_3772.huff 	 53005 	 116387 	 19479
1901_03_04_3563.huff 	 11179 	 13190 	 2225
1901_12_03_3773.huff 	 47045 	 113948 	 19736
1902_12_02_3774.huff 	 30063 	 56737 	 9838
1903_12_07_3775.huff 	 40281 	 88561 	 15059
1904_12_06_3776.huff 	 44376 	 102379 	 17559
1905_03_04_3564.huff 	 5159 	 5471 	 991
1905_12_05_3777.huff 	 52263 	 145178 	 25168
1906_12_03_3778.huff 	 52326 	 135848 	 23725
1907_12_03_3779.huff 	 55376 	 159425 	 27581
1908_12_09_3780.huff 	 46341 	 113651 	 19565
1909_03_04_3565.huff 	 18807 	 31728 	 5442
1909_11_17_3781.huff 	 18806 	 43497 	 7878
1909_12_07_3782.huff 	 35431 	 83523 	 13985
1910_12_06_3783.huff 	 55767 	 165510 	 28272
1911_01_26_3784.huff 	 10766 	 13874 	 2294
1911_12_05_3785.huff 	 50159 	 141324 	 23994
1912_12_03_3786.huff 	 52993 	 150971 	 25409
1913_03_04_3566.huff 	 8503 	 9371 	 1712
1913_07_04_3787.huff 	 6317 	 6716 	 1267
1913_10_25_3788.huff 	 8149 	 10553 	 1956
1913_12_02_3789.huff 	 14284 	 20203 	 3567
1914_01_20_3790.huff 	 10437 	 14764 	 2523
1914_08_20_3791.huff 	 3879 	 3517 	 632
1914_10_20_3792.huff 	 5157 	 5704 	 1078
1914_12_08_3793.huff 	 15789 	 24912 	 4548
1915_12_07_3794.huff 	 23188 	 44028 	 7772
1916_09_02_3795.huff 	 18972 	 31612 	 5537
1916_12_05_3796.huff 	 9260 	 12584 	 2127
1917_01_22_3797.huff 	 9636 	 14958 	 2685
1917_03_05_3567.huff 	 7060 	 8248 	 1531
1917_04_02_4722.huff 	 14021 	 20662 	 3679
1917_04_06_3798.huff 	 5851 	 8770 	 1541
