old-2
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 8050 	 8520 	 1433
1789_10_03_3447.huff 	 2695 	 2500 	 435
1790_01_08_3448.huff 	 5270 	 5197 	 848
1790_12_08_3449.huff 	 7785 	 8256 	 1400
1790_12_29_3450.huff 	 5964 	 7727 	 1401
1791_10_25_3451.huff 	 10574 	 13669 	 2267
1792_04_05_3452.huff 	 989 	 966 	 156
1792_11_06_3938.huff 	 10871 	 13927 	 2358
1792_12_12_3453.huff 	 1600 	 1122 	 190
1793_03_04_3454.huff 	 1155 	 776 	 136
1793_04_22_3455.huff 	 1649 	 1395 	 237
1793_12_03_3456.huff 	 10473 	 11444 	 1973
1794_08_07_3721.huff 	 6442 	 7626 	 1284
1794_09_25_3458.huff 	 4487 	 3992 	 653
1794_11_19_3459.huff 	 15111 	 17327 	 2927
1795_07_10_3460.huff 	 2206 	 2314 	 382
1795_12_08_3939.huff 	 10728 	 11992 	 1977
1796_03_30_3461.huff 	 5056 	 6261 	 1065
1796_08_29_3941.huff 	 6544 	 8537 	 1602
1796_09_19_3462.huff 	 23257 	 36045 	 6074
1796_12_07_3463.huff 	 13197 	 17030 	 2865
1797_03_04_3445.huff 	 10802 	 13603 	 2322
1797_05_16_3464.huff 	 12983 	 18104 	 3025
1797_11_22_3465.huff 	 9516 	 12172 	 2049
1798_03_23_3942.huff 	 4121 	 3910 	 655
1798_12_08_3466.huff 	 10780 	 13185 	 2218
1799_12_03_3467.huff 	 7809 	 9010 	 1494
1799_12_19_3943.huff 	 6646 	 7302 	 1265
1800_05_21_3944.huff 	 1964 	 1740 	 291
1800_11_22_3468.huff 	 7269 	 8215 	 1374
1801_03_04_3469.huff 	 9230 	 9923 	 1732
1801_07_12_3470.huff 	 6427 	 6877 	 1211
1801_12_08_3471.huff 	 14234 	 19077 	 3235
1802_01_01_3473.huff 	 1824 	 1400 	 234
1802_11_03_3474.huff 	 4775 	 4891 	 914
1802_12_15_3475.huff 	 10369 	 12351 	 2125
1803_01_18_3476.huff 	 7196 	 7605 	 1284
1803_06_20_3477.huff 	 10816 	 13360 	 2345
1803_10_17_3478.huff 	 11033 	 13931 	 2301
1803_12_17_3479.huff 	 5261 	 5859 	 1140
1804_11_08_3480.huff 	 9739 	 12375 	 2100
