recent-2
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 7947 	 8520 	 1433
1789_10_03_3447.huff 	 2640 	 2500 	 435
1790_01_08_3448.huff 	 5147 	 5197 	 848
1790_12_08_3449.huff 	 7621 	 8256 	 1400
1790_12_29_3450.huff 	 5785 	 7727 	 1401
1791_10_25_3451.huff 	 10461 	 13669 	 2267
1792_04_05_3452.huff 	 938 	 966 	 156
1792_11_06_3938.huff 	 10698 	 13927 	 2358
1792_12_12_3453.huff 	 1525 	 1122 	 190
1793_03_04_3454.huff 	 1107 	 776 	 136
1793_04_22_3455.huff 	 1599 	 1395 	 237
1793_12_03_3456.huff 	 10308 	 11444 	 1973
1794_08_07_3721.huff 	 6340 	 7626 	 1284
1794_09_25_3458.huff 	 4369 	 3992 	 653
1794_11_19_3459.huff 	 15031 	 17327 	 2927
1795_07_10_3460.huff 	 2137 	 2314 	 382
1795_12_08_3939.huff 	 10610 	 11992 	 1977
1796_03_30_3461.huff 	 4899 	 6261 	 1065
1796_08_29_3941.huff 	 6342 	 8537 	 1602
1796_09_19_3462.huff 	 23287 	 36045 	 6074
1796_12_07_3463.huff 	 13055 	 17030 	 2865
1797_03_04_3445.huff 	 10659 	 13603 	 2322
1797_05_16_3464.huff 	 12873 	 18104 	 3025
1797_11_22_3465.huff 	 9344 	 12172 	 2049
1798_03_23_3942.huff 	 4016 	 3910 	 655
1798_12_08_3466.huff 	 10642 	 13185 	 2218
1799_12_03_3467.huff 	 7669 	 9010 	 1494
1799_12_19_3943.huff 	 6532 	 7302 	 1265
1800_05_21_3944.huff 	 1898 	 1740 	 291
1800_11_22_3468.huff 	 7095 	 8215 	 1374
1801_03_04_3469.huff 	 9048 	 9923 	 1732
1801_07_12_3470.huff 	 6262 	 6877 	 1211
1801_12_08_3471.huff 	 14103 	 19077 	 3235
1802_01_01_3473.huff 	 1747 	 1400 	 234
1802_11_03_3474.huff 	 4588 	 4891 	 914
1802_12_15_3475.huff 	 10194 	 12351 	 2125
1803_01_18_3476.huff 	 7061 	 7605 	 1284
1803_06_20_3477.huff 	 10641 	 13360 	 2345
1803_10_17_3478.huff 	 10879 	 13931 	 2301
1803_12_17_3479.huff 	 5035 	 5859 	 1140
1804_11_08_3480.huff 	 9593 	 12375 	 2100
1805_03_04_3491.huff 	 10470 	 12609 	 2152
1805_12_03_3493.huff 	 12733 	 16679 	 2902
1805_12_06_3492.huff 	 5340 	 5803 	 993
1806_01_10_3494.huff 	 4176 	 4381 	 847
1806_11_27_3722.huff 	 2524 	 2562 	 425
1806_12_02_3495.huff 	 12377 	 16947 	 2881
1806_12_30_3496.huff 	 4687 	 5982 	 1175
1807_01_22_3497.huff 	 10306 	 14464 	 2478
1807_02_10_3498.huff 	 5979 	 6567 	 1143
1807_07_02_3499.huff 	 5712 	 6817 	 1174
1807_10_27_3500.huff 	 11014 	 13939 	 2373
1808_11_08_3501.huff 	 12264 	 16092 	 2710
1809_03_04_3482.huff 	 6907 	 6905 	 1177
1809_04_03_3502.huff 	 2259 	 1863 	 337
1809_05_23_3607.huff 	 6031 	 6514 	 1116
1809_11_29_3608.huff 	 9017 	 10868 	 1832
1810_10_27_3610.huff 	 3580 	 3654 	 624
1810_12_05_3609.huff 	 11584 	 14772 	 2451
1811_02_21_3611.huff 	 2126 	 2062 	 335
1811_11_05_3613.huff 	 10863 	 13690 	 2275
1812_06_01_3614.huff 	 12250 	 17228 	 2851
1812_06_19_3615.huff 	 1922 	 1674 	 289
1812_07_09_3616.huff 	 2185 	 1808 	 311
1812_11_04_3619.huff 	 14870 	 19251 	 3251
1813_03_04_3620.huff 	 6878 	 7055 	 1211
1813_05_25_3621.huff 	 10317 	 12168 	 2111
1813_07_23_3622.huff 	 4736 	 4624 	 799
1813_12_07_3623.huff 	 14275 	 19136 	 3262
1814_09_01_3624.huff 	 4446 	 4141 	 696
1814_09_20_3625.huff 	 10868 	 12363 	 2115
1815_01_30_3626.huff 	 5836 	 7358 	 1281
1815_02_18_3627.huff 	 5083 	 4958 	 829
1815_12_05_3628.huff 	 14057 	 19107 	 3186
1816_12_03_3629.huff 	 14372 	 19976 	 3370
1817_03_03_3630.huff 	 3747 	 4856 	 815
1817_03_04_3483.huff 	 13219 	 19556 	 3379
1817_12_02_3594.huff 	 15875 	 25759 	 4447
1818_11_16_3596.huff 	 16115 	 25970 	 4378
1819_12_07_3597.huff 	 15410 	 27356 	 4711
1820_11_14_3598.huff 	 14061 	 20068 	 3464
1821_03_05_3601.huff 	 16309 	 25884 	 4482
1821_07_04_3484.huff 	 2832 	 2603 	 447
1821_12_03_3602.huff 	 17504 	 33708 	 5858
1822_12_03_3603.huff 	 16739 	 27660 	 4765
1823_12_02_3604.huff 	 21065 	 37578 	 6423
1824_12_07_3606.huff 	 22950 	 48968 	 8444
1825_03_04_3513.huff 	 13034 	 17489 	 2917
1825_12_06_3514.huff 	 28035 	 53039 	 9088
1826_12_05_3515.huff 	 23975 	 45626 	 7848
1827_12_04_3516.huff 	 23994 	 41545 	 7058
1828_12_02_3517.huff 	 24024 	 43365 	 7391
1829_03_04_3485.huff 	 6679 	 6722 	 1128
1829_05_11_3631.huff 	 1902 	 2348 	 402
1829_12_08_3632.huff 	 30908 	 61903 	 10568
1830_10_05_3633.huff 	 2462 	 4812 	 846
1830_12_06_3634.huff 	 36515 	 88827 	 15043
1831_12_06_3635.huff 	 23395 	 42221 	 7211
1832_07_10_3636.huff 	 19952 	 46421 	 8138
1832_12_04_3637.huff 	 25072 	 46153 	 7903
1833_03_04_3639.huff 	 6231 	 6946 	 1176
1833_12_03_3640.huff 	 22734 	 46194 	 7930
1834_12_01_3641.huff 	 34569 	 79060 	 13514
1835_12_07_3642.huff 	 29707 	 63520 	 10864
1836_12_05_3643.huff 	 32034 	 72318 	 12428
1837_03_04_3486.huff 	 17093 	 23066 	 3846
1837_03_04_3644.huff 	 24673 	 47766 	 8254
1837_09_04_3724.huff 	 28479 	 69051 	 11785
1837_12_05_3589.huff 	 31450 	 67914 	 11513
1838_01_05_3725.huff 	 2390 	 2348 	 396
1838_12_03_3591.huff 	 31720 	 68824 	 11558
1839_12_02_3592.huff 	 34976 	 78957 	 13492
1840_12_05_3593.huff 	 28406 	 54157 	 9014
1841_01_02_3726.huff 	 4426 	 5047 	 882
1841_03_04_3548.huff 	 24766 	 48991 	 8465
1841_12_07_3549.huff 	 26903 	 48129 	 8295
1845_03_04_3550.huff 	 17089 	 28267 	 4814
1849_03_05_3551.huff 	 6363 	 6504 	 1091
1850_12_02_3552.huff 	 27480 	 49039 	 8373
1852_07_06_3487.huff 	 19956 	 60149 	 10878
1853_03_04_3553.huff 	 15191 	 19750 	 3342
1853_12_05_3728.huff 	 30910 	 57134 	 9677
1854_01_18_3727.huff 	 1840 	 1619 	 271
1854_10_16_3503.huff 	 33396 	 181760 	 33420
1854_12_04_3729.huff 	 32487 	 60991 	 10213
1855_12_31_3730.huff 	 32869 	 69350 	 11672
1856_12_02_3731.huff 	 30921 	 62898 	 10567
1857_03_04_3554.huff 	 11906 	 16532 	 2836
1857_12_08_3732.huff 	 34265 	 80636 	 13775
1858_06_16_3504.huff 	 11694 	 17778 	 3226
1858_12_06_3733.huff 	 38793 	 96899 	 16505
1859_12_19_3734.huff 	 32701 	 72729 	 12513
1860_02_27_3505.huff 	 15806 	 34825 	 6164
1860_12_03_3735.huff 	 34769 	 82815 	 14150
1861_02_11_3506.huff 	 1159 	 776 	 152
1861_03_04_3507.huff 	 13026 	 41212 	 7272
1861_07_04_3508.huff 	 18734 	 71328 	 12572
1861_12_03_3736.huff 	 24651 	 40806 	 7052
1862_12_01_3737.huff 	 27752 	 48876 	 8550
1863_01_01_3509.huff 	 3377 	 4146 	 711
1863_08_26_3510.huff 	 7485 	 17822 	 3396
1863_11_19_3511.huff 	 1675 	 1421 	 272
1863_12_08_3738.huff 	 23333 	 36487 	 6221
1864_12_06_3739.huff 	 23564 	 34799 	 5997
1865_03_04_3512.huff 	 4335 	 3849 	 705
1865_12_04_3555.huff 	 28611 	 53861 	 9294
1869_03_04_3556.huff 	 6078 	 6379 	 1132
1869_12_06_3740.huff 	 25155 	 45152 	 7777
1870_12_05_3741.huff 	 28943 	 51175 	 8847
1871_12_04_3742.huff 	 22968 	 38083 	 6476
1872_12_02_3743.huff 	 31840 	 60356 	 10410
1873_03_04_3557.huff 	 6809 	 7578 	 1341
1873_12_01_3744.huff 	 31514 	 59270 	 10156
1874_12_07_3745.huff 	 29322 	 57804 	 9889
1875_12_07_3746.huff 	 34414 	 71928 	 12324
1876_12_05_3747.huff 	 23300 	 40126 	 6860
1877_03_05_3558.huff 	 10726 	 14676 	 2494
1877_12_03_3748.huff 	 31791 	 63915 	 10862
1878_12_02_3749.huff 	 27580 	 47668 	 8037
1879_12_01_3750.huff 	 33071 	 69987 	 11801
1880_12_06_3751.huff 	 38667 	 80960 	 13593
1881_03_04_3559.huff 	 13022 	 17494 	 2993
1881_12_06_3560.huff 	 42135 	 80527 	 13710
1882_12_04_3752.huff 	 35132 	 61739 	 10519
1883_12_04_3753.huff 	 31289 	 51361 	 8681
1884_12_01_3754.huff 	 31930 	 54237 	 9112
1885_03_04_3571.huff 	 8567 	 9990 	 1691
1885_12_08_3755.huff 	 51528 	 119104 	 19979
1886_12_06_3756.huff 	 42402 	 91414 	 15374
1887_12_06_3757.huff 	 18578 	 31173 	 5365
1888_12_03_3758.huff 	 41923 	 80055 	 13434
1889_03_04_3561.huff 	 17722 	 25858 	 4407
1889_12_03_3765.huff 	 36882 	 76723 	 13143
1890_12_01_3766.huff 	 34235 	 68497 	 11675
1891_12_09_3767.huff 	 41154 	 95438 	 16536
1892_12_06_3768.huff 	 38425 	 80454 	 14111
1893_03_04_3572.huff 	 10712 	 12214 	 2028
1893_08_08_3759.huff 	 9851 	 12221 	 2104
1893_12_04_3760.huff 	 42001 	 75480 	 12681
1894_12_03_3762.huff 	 46762 	 96239 	 16370
1895_12_02_3763.huff 	 41576 	 88452 	 14868
1896_12_07_3764.huff 	 45530 	 93353 	 15901
1897_03_04_3562.huff 	 16131 	 23247 	 3977
1897_12_06_3769.huff 	 35157 	 71532 	 12225
1898_12_05_3770.huff 	 53697 	 121684 	 20533
1899_12_05_3771.huff 	 55817 	 137444 	 23065
1900_12_03_3772.huff 	 52869 	 116387 	 19479
1901_03_04_3563.huff 	 10943 	 13190 	 2225
1901_12_03_3773.huff 	 47011 	 113948 	 19736
1902_12_02_3774.huff 	 29971 	 56737 	 9838
1903_12_07_3775.huff 	 40223 	 88561 	 15059
1904_12_06_3776.huff 	 44357 	 102379 	 17559
1905_03_04_3564.huff 	 4937 	 5471 	 991
1905_12_05_3777.huff 	 52844 	 145178 	 25168
1906_12_03_3778.huff 	 52610 	 135848 	 23725
1907_12_03_3779.huff 	 55734 	 159425 	 27581
1908_12_09_3780.huff 	 46210 	 113651 	 19565
1909_03_04_3565.huff 	 18568 	 31728 	 5442
1909_11_17_3781.huff 	 18582 	 43497 	 7878
1909_12_07_3782.huff 	 35285 	 83523 	 13985
1910_12_06_3783.huff 	 56180 	 165510 	 28272
1911_01_26_3784.huff 	 10564 	 13874 	 2294
1911_12_05_3785.huff 	 50353 	 141324 	 23994
1912_12_03_3786.huff 	 53547 	 150971 	 25409
1913_03_04_3566.huff 	 8250 	 9371 	 1712
1913_07_04_3787.huff 	 6075 	 6716 	 1267
1913_10_25_3788.huff 	 7936 	 10553 	 1956
1913_12_02_3789.huff 	 14038 	 20203 	 3567
1914_01_20_3790.huff 	 10213 	 14764 	 2523
1914_08_20_3791.huff 	 3696 	 3517 	 632
1914_10_20_3792.huff 	 4925 	 5704 	 1078
1914_12_08_3793.huff 	 15532 	 24912 	 4548
1915_12_07_3794.huff 	 23069 	 44028 	 7772
1916_09_02_3795.huff 	 18738 	 31612 	 5537
1916_12_05_3796.huff 	 9035 	 12584 	 2127
1917_01_22_3797.huff 	 9389 	 14958 	 2685
1917_03_05_3567.huff 	 6786 	 8248 	 1531
1917_04_02_4722.huff 	 13809 	 20662 	 3679
1917_04_06_3798.huff 	 5721 	 8770 	 1541
1917_12_04_3799.huff 	 14251 	 21693 	 3935
1918_12_02_3801.huff 	 19150 	 30929 	 5495
1919_12_02_3802.huff 	 18047 	 28090 	 4773
1920_12_07_3803.huff 	 11628 	 15879 	 2744
1921_03_04_3568.huff 	 15117 	 19866 	 3346
1921_12_06_3804.huff 	 21148 	 33673 	 5652
1922_12_08_3805.huff 	 21800 	 34829 	 5786
1923_12_06_3806.huff 	 22876 	 40357 	 6746
1924_12_03_3807.huff 	 22906 	 41883 	 7019
1925_03_04_3569.huff 	 15647 	 23540 	 4057
1925_12_08_3808.huff 	 30695 	 65151 	 10958
1926_12_07_3809.huff 	 30531 	 61672 	 10407
1927_08_10_3810.huff 	 5402 	 6136 	 1044
1927_12_06_3811.huff 	 27839 	 53186 	 8880
1928_10_22_6000.huff 	 19175 	 36485 	 6211
1928_12_04_3812.huff 	 28132 	 49225 	 8168
1929_03_04_3570.huff 	 13709 	 22593 	 3766
1929_07_24_3813.huff 	 5694 	 6529 	 1100
1933_03_04_3280.huff 	 9487 	 10793 	 1901
1933_03_12_3298.huff 	 7420 	 9868 	 1797
1933_05_07_3299.huff 	 12135 	 16903 	 2971
1933_07_24_3300.huff 	 11850 	 16411 	 2971
1933_10_22_3301.huff 	 10576 	 14915 	 2720
1934_06_28_3302.huff 	 11549 	 14532 	 2531
1934_09_30_3303.huff 	 12913 	 18648 	 3163
1935_04_28_3304.huff 	 12425 	 17888 	 3096
1936_06_27_3305.huff 	 9119 	 11307 	 2015
1936_09_06_3306.huff 	 12439 	 18203 	 3207
1936_10_31_3307.huff 	 10492 	 13653 	 2468
1937_01_20_3308.huff 	 9029 	 10372 	 1825
1937_03_09_3309.huff 	 13799 	 22920 	 4066
1937_10_05_3310.huff 	 9087 	 10818 	 1864
1937_10_12_3311.huff 	 12727 	 18377 	 3271
1937_11_14_3312.huff 	 6899 	 9290 	 1634
1938_04_14_3313.huff 	 15770 	 25830 	 4599
1938_06_24_3314.huff 	 14065 	 20302 	 3533
1938_07_08_3573.huff 	 6965 	 8211 	 1446
1939_09_03_3315.huff 	 5589 	 6699 	 1241
1940_05_26_3316.huff 	 14682 	 21263 	 3871
1940_06_10_3317.huff 	 8327 	 11016 	 1970
1940_07_19_3318.huff 	 14063 	 19715 	 3544
1940_12_29_3319.huff 	 14964 	 22208 	 4041
1941_01_06_3320.huff 	 13606 	 18840 	 3330
1941_01_20_3321.huff 	 6448 	 7368 	 1362
1941_03_15_3322.huff 	 12651 	 16647 	 3031
1941_05_27_3814.huff 	 17667 	 26288 	 4620
1941_09_11_3323.huff 	 11603 	 17146 	 3065
1941_12_08_3324.huff 	 3254 	 3075 	 518
1941_12_09_3325.huff 	 12453 	 16543 	 3023
1941_12_11_3815.huff 	 938 	 817 	 139
1942_02_23_3326.huff 	 15863 	 23646 	 4251
1942_04_28_3327.huff 	 15712 	 21408 	 3868
1942_09_07_3328.huff 	 12159 	 17350 	 3180
1942_10_12_3329.huff 	 14005 	 19085 	 3483
1943_01_07_3816.huff 	 17385 	 25610 	 4625
1943_05_02_3330.huff 	 10023 	 13529 	 2465
1943_07_28_3331.huff 	 14369 	 19271 	 3468
1943_09_08_3332.huff 	 6650 	 7822 	 1466
1943_12_01_3817.huff 	 2371 	 1986 	 351
1943_12_24_3333.huff 	 13323 	 18778 	 3397
1944_01_11_3955.huff 	 13785 	 19341 	 3469
1944_06_05_3334.huff 	 8182 	 9264 	 1665
1944_06_12_3335.huff 	 7903 	 9091 	 1650
1944_07_20_3336.huff 	 8563 	 9844 	 1777
1945_01_20_3337.huff 	 3299 	 2924 	 561
1945_02_11_3819.huff 	 8194 	 12294 	 2019
1945_03_01_3338.huff 	 18462 	 33424 	 6044
1945_04_16_3339.huff 	 8818 	 10593 	 1880
1945_05_08_3340.huff 	 3869 	 3768 	 709
1945_08_06_3820.huff 	 6271 	 6616 	 1166
1945_08_09_3821.huff 	 14019 	 23062 	 4075
1945_09_01_3341.huff 	 5870 	 6795 	 1268
1945_10_27_3342.huff 	 10817 	 14596 	 2603
1947_03_12_3343.huff 	 9407 	 13236 	 2213
1947_06_20_3344.huff 	 7230 	 10155 	 1807
1947_06_29_3345.huff 	 6389 	 7000 	 1232
1948_07_15_3346.huff 	 9324 	 14429 	 2721
1948_09_18_3347.huff 	 3461 	 3874 	 794
1948_09_18_3348.huff 	 3757 	 4234 	 817
1948_11_03_3349.huff 	 1436 	 1432 	 285
1949_01_20_3350.huff 	 9731 	 13356 	 2284
1951_04_11_3351.huff 	 8565 	 13392 	 2469
1952_03_15_3352.huff 	 7036 	 10065 	 1970
1952_03_29_3353.huff 	 11842 	 20233 	 3804
1952_09_23_4638.huff 	 12280 	 24060 	 4800
1952_10_22_3354.huff 	 4873 	 6513 	 1280
1953_01_15_3355.huff 	 13151 	 19751 	 3802
1953_01_20_3356.huff 	 11503 	 13616 	 2476
1953_04_16_3357.huff 	 11795 	 15977 	 2918
1953_12_08_3358.huff 	 12755 	 17666 	 3075
1956_08_23_3359.huff 	 17583 	 25074 	 4406
1957_01_05_3360.huff 	 13355 	 20490 	 3443
1960_07_15_3362.huff 	 11906 	 14003 	 2558
1960_09_12_3363.huff 	 7226 	 8671 	 1561
1960_09_26_5728.huff 	 20032 	 59322 	 11037
1960_10_07_5729.huff 	 22286 	 61224 	 11385
1960_10_13_5730.huff 	 21887 	 58786 	 10930
1960_10_21_5731.huff 	 20803 	 59337 	 10991
1961_01_09_3364.huff 	 4940 	 5012 	 911
1961_01_17_3361.huff 	 9950 	 10919 	 1858
1961_01_20_3365.huff 	 6933 	 7371 	 1368
1961_01_30_5945.huff 	 21430 	 30901 	 5301
1961_02_21_5946.huff 	 4222 	 5288 	 975
1961_03_01_3366.huff 	 2479 	 2297 	 412
1961_03_13_5732.huff 	 10826 	 14460 	 2479
