recent-10
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1841_01_02_3726.huff 	 4421 	 5047 	 882
1841_03_04_3548.huff 	 25106 	 48991 	 8465
1841_12_07_3549.huff 	 27296 	 48129 	 8295
1845_03_04_3550.huff 	 17233 	 28267 	 4814
1849_03_05_3551.huff 	 6322 	 6504 	 1091
1850_12_02_3552.huff 	 27911 	 49039 	 8373
1852_07_06_3487.huff 	 20667 	 60149 	 10878
1853_03_04_3553.huff 	 15225 	 19750 	 3342
1853_12_05_3728.huff 	 31426 	 57134 	 9677
1854_01_18_3727.huff 	 1816 	 1619 	 271
1854_10_16_3503.huff 	 33085 	 181760 	 33420
1854_12_04_3729.huff 	 33083 	 60991 	 10213
1855_12_31_3730.huff 	 33581 	 69350 	 11672
1856_12_02_3731.huff 	 31501 	 62898 	 10567
1857_03_04_3554.huff 	 11948 	 16532 	 2836
1857_12_08_3732.huff 	 35058 	 80636 	 13775
1858_06_16_3504.huff 	 11721 	 17778 	 3226
1858_12_06_3733.huff 	 39829 	 96899 	 16505
1859_12_19_3734.huff 	 33380 	 72729 	 12513
1860_02_27_3505.huff 	 15997 	 34825 	 6164
1860_12_03_3735.huff 	 35603 	 82815 	 14150
1861_02_11_3506.huff 	 1099 	 776 	 152
1861_03_04_3507.huff 	 13400 	 41212 	 7272
1861_07_04_3508.huff 	 19415 	 71328 	 12572
1861_12_03_3736.huff 	 24928 	 40806 	 7052
1862_12_01_3737.huff 	 28161 	 48876 	 8550
1863_01_01_3509.huff 	 3353 	 4146 	 711
1863_08_26_3510.huff 	 7558 	 17822 	 3396
1863_11_19_3511.huff 	 1607 	 1421 	 272
1863_12_08_3738.huff 	 23623 	 36487 	 6221
1864_12_06_3739.huff 	 23838 	 34799 	 5997
1865_03_04_3512.huff 	 4274 	 3849 	 705
1865_12_04_3555.huff 	 28997 	 53861 	 9294
1869_03_04_3556.huff 	 6034 	 6379 	 1132
1869_12_06_3740.huff 	 25487 	 45152 	 7777
1870_12_05_3741.huff 	 29395 	 51175 	 8847
1871_12_04_3742.huff 	 23265 	 38083 	 6476
1872_12_02_3743.huff 	 32420 	 60356 	 10410
1873_03_04_3557.huff 	 6753 	 7578 	 1341
1873_12_01_3744.huff 	 32027 	 59270 	 10156
1874_12_07_3745.huff 	 29881 	 57804 	 9889
1875_12_07_3746.huff 	 35087 	 71928 	 12324
1876_12_05_3747.huff 	 23574 	 40126 	 6860
1877_03_05_3558.huff 	 10719 	 14676 	 2494
1877_12_03_3748.huff 	 32370 	 63915 	 10862
1878_12_02_3749.huff 	 27988 	 47668 	 8037
1879_12_01_3750.huff 	 33731 	 69987 	 11801
1880_12_06_3751.huff 	 39567 	 80960 	 13593
1881_03_04_3559.huff 	 13048 	 17494 	 2993
1881_12_06_3560.huff 	 43236 	 80527 	 13710
1882_12_04_3752.huff 	 35828 	 61739 	 10519
1883_12_04_3753.huff 	 31853 	 51361 	 8681
1884_12_01_3754.huff 	 32516 	 54237 	 9112
1885_03_04_3571.huff 	 8527 	 9990 	 1691
1885_12_08_3755.huff 	 53068 	 119104 	 19979
1886_12_06_3756.huff 	 43474 	 91414 	 15374
1887_12_06_3757.huff 	 18805 	 31173 	 5365
1888_12_03_3758.huff 	 42915 	 80055 	 13434
1889_03_04_3561.huff 	 17858 	 25858 	 4407
1889_12_03_3765.huff 	 37732 	 76723 	 13143
1890_12_01_3766.huff 	 34927 	 68497 	 11675
1891_12_09_3767.huff 	 42280 	 95438 	 16536
1892_12_06_3768.huff 	 39391 	 80454 	 14111
1893_03_04_3572.huff 	 10771 	 12214 	 2028
1893_08_08_3759.huff 	 9868 	 12221 	 2104
1893_12_04_3760.huff 	 42952 	 75480 	 12681
1894_12_03_3762.huff 	 48065 	 96239 	 16370
1895_12_02_3763.huff 	 42626 	 88452 	 14868
1896_12_07_3764.huff 	 46775 	 93353 	 15901
1897_03_04_3562.huff 	 16173 	 23247 	 3977
1897_12_06_3769.huff 	 35775 	 71532 	 12225
1898_12_05_3770.huff 	 55384 	 121684 	 20533
1899_12_05_3771.huff 	 57429 	 137444 	 23065
1900_12_03_3772.huff 	 54466 	 116387 	 19479
1901_03_04_3563.huff 	 10911 	 13190 	 2225
1901_12_03_3773.huff 	 48160 	 113948 	 19736
1902_12_02_3774.huff 	 30423 	 56737 	 9838
1903_12_07_3775.huff 	 41212 	 88561 	 15059
1904_12_06_3776.huff 	 45306 	 102379 	 17559
1905_03_04_3564.huff 	 4855 	 5471 	 991
1905_12_05_3777.huff 	 53727 	 145178 	 25168
1906_12_03_3778.huff 	 53766 	 135848 	 23725
1907_12_03_3779.huff 	 56742 	 159425 	 27581
1908_12_09_3780.huff 	 47292 	 113651 	 19565
1909_03_04_3565.huff 	 18663 	 31728 	 5442
1909_11_17_3781.huff 	 18896 	 43497 	 7878
1909_12_07_3782.huff 	 36108 	 83523 	 13985
1910_12_06_3783.huff 	 57330 	 165510 	 28272
1911_01_26_3784.huff 	 10631 	 13874 	 2294
1911_12_05_3785.huff 	 51658 	 141324 	 23994
1912_12_03_3786.huff 	 54518 	 150971 	 25409
1913_03_04_3566.huff 	 8208 	 9371 	 1712
1913_07_04_3787.huff 	 6014 	 6716 	 1267
1913_10_25_3788.huff 	 7892 	 10553 	 1956
1913_12_02_3789.huff 	 14081 	 20203 	 3567
1914_01_20_3790.huff 	 10250 	 14764 	 2523
1914_08_20_3791.huff 	 3636 	 3517 	 632
1914_10_20_3792.huff 	 4885 	 5704 	 1078
1914_12_08_3793.huff 	 15575 	 24912 	 4548
1915_12_07_3794.huff 	 23339 	 44028 	 7772
