recent-300
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 8337 	 8520 	 1433
1789_10_03_3447.huff 	 2668 	 2500 	 435
1790_01_08_3448.huff 	 5279 	 5197 	 848
1790_12_08_3449.huff 	 7861 	 8256 	 1400
1790_12_29_3450.huff 	 5883 	 7727 	 1401
1791_10_25_3451.huff 	 11059 	 13669 	 2267
1792_04_05_3452.huff 	 945 	 966 	 156
1792_11_06_3938.huff 	 11316 	 13927 	 2358
1792_12_12_3453.huff 	 1521 	 1122 	 190
1793_03_04_3454.huff 	 1065 	 776 	 136
1793_04_22_3455.huff 	 1613 	 1395 	 237
1793_12_03_3456.huff 	 10663 	 11444 	 1973
1794_08_07_3721.huff 	 6726 	 7626 	 1284
1794_09_25_3458.huff 	 4509 	 3992 	 653
1794_11_19_3459.huff 	 16054 	 17327 	 2927
1795_07_10_3460.huff 	 2235 	 2314 	 382
1795_12_08_3939.huff 	 11238 	 11992 	 1977
1796_03_30_3461.huff 	 4978 	 6261 	 1065
1796_08_29_3941.huff 	 6374 	 8537 	 1602
1796_09_19_3462.huff 	 25399 	 36045 	 6074
1796_12_07_3463.huff 	 13829 	 17030 	 2865
1797_03_04_3445.huff 	 11192 	 13603 	 2322
1797_05_16_3464.huff 	 13567 	 18104 	 3025
1797_11_22_3465.huff 	 9751 	 12172 	 2049
1798_03_23_3942.huff 	 4145 	 3910 	 655
1798_12_08_3466.huff 	 11192 	 13185 	 2218
1799_12_03_3467.huff 	 7900 	 9010 	 1494
1799_12_19_3943.huff 	 6880 	 7302 	 1265
1800_05_21_3944.huff 	 1969 	 1740 	 291
1800_11_22_3468.huff 	 7305 	 8215 	 1374
1801_03_04_3469.huff 	 9322 	 9923 	 1732
1801_07_12_3470.huff 	 6434 	 6877 	 1211
1801_12_08_3471.huff 	 14846 	 19077 	 3235
1802_01_01_3473.huff 	 1720 	 1400 	 234
1802_11_03_3474.huff 	 4604 	 4891 	 914
1802_12_15_3475.huff 	 10651 	 12351 	 2125
1803_01_18_3476.huff 	 7274 	 7605 	 1284
1803_06_20_3477.huff 	 11413 	 13360 	 2345
1803_10_17_3478.huff 	 11428 	 13931 	 2301
1803_12_17_3479.huff 	 5000 	 5859 	 1140
1804_11_08_3480.huff 	 10055 	 12375 	 2100
1805_03_04_3491.huff 	 10935 	 12609 	 2152
1805_12_03_3493.huff 	 13395 	 16679 	 2902
1805_12_06_3492.huff 	 5387 	 5803 	 993
1806_01_10_3494.huff 	 4178 	 4381 	 847
1806_11_27_3722.huff 	 2580 	 2562 	 425
1806_12_02_3495.huff 	 12864 	 16947 	 2881
1806_12_30_3496.huff 	 4598 	 5982 	 1175
1807_01_22_3497.huff 	 10912 	 14464 	 2478
1807_02_10_3498.huff 	 6156 	 6567 	 1143
1807_07_02_3499.huff 	 5939 	 6817 	 1174
1807_10_27_3500.huff 	 11547 	 13939 	 2373
1808_11_08_3501.huff 	 12849 	 16092 	 2710
1809_03_04_3482.huff 	 7080 	 6905 	 1177
1809_04_03_3502.huff 	 2285 	 1863 	 337
1809_05_23_3607.huff 	 6238 	 6514 	 1116
1809_11_29_3608.huff 	 9450 	 10868 	 1832
1810_10_27_3610.huff 	 3650 	 3654 	 624
1810_12_05_3609.huff 	 12236 	 14772 	 2451
1811_02_21_3611.huff 	 2152 	 2062 	 335
1811_11_05_3613.huff 	 11533 	 13690 	 2275
1812_06_01_3614.huff 	 13146 	 17228 	 2851
1812_06_19_3615.huff 	 1943 	 1674 	 289
1812_07_09_3616.huff 	 2195 	 1808 	 311
1812_11_04_3619.huff 	 15859 	 19251 	 3251
1813_03_04_3620.huff 	 7170 	 7055 	 1211
1813_05_25_3621.huff 	 10736 	 12168 	 2111
1813_07_23_3622.huff 	 4841 	 4624 	 799
1813_12_07_3623.huff 	 15171 	 19136 	 3262
1814_09_01_3624.huff 	 4587 	 4141 	 696
1814_09_20_3625.huff 	 11544 	 12363 	 2115
1815_01_30_3626.huff 	 6063 	 7358 	 1281
1815_02_18_3627.huff 	 5201 	 4958 	 829
1815_12_05_3628.huff 	 14984 	 19107 	 3186
1816_12_03_3629.huff 	 15338 	 19976 	 3370
1817_03_03_3630.huff 	 3870 	 4856 	 815
1817_03_04_3483.huff 	 13885 	 19556 	 3379
1817_12_02_3594.huff 	 16790 	 25759 	 4447
1818_11_16_3596.huff 	 17200 	 25970 	 4378
1819_12_07_3597.huff 	 16439 	 27356 	 4711
1820_11_14_3598.huff 	 14899 	 20068 	 3464
1821_03_05_3601.huff 	 17265 	 25884 	 4482
1821_07_04_3484.huff 	 2902 	 2603 	 447
1821_12_03_3602.huff 	 18786 	 33708 	 5858
1822_12_03_3603.huff 	 17814 	 27660 	 4765
1823_12_02_3604.huff 	 22705 	 37578 	 6423
1824_12_07_3606.huff 	 24789 	 48968 	 8444
1825_03_04_3513.huff 	 13824 	 17489 	 2917
1825_12_06_3514.huff 	 30665 	 53039 	 9088
1826_12_05_3515.huff 	 26003 	 45626 	 7848
1827_12_04_3516.huff 	 26147 	 41545 	 7058
1828_12_02_3517.huff 	 26220 	 43365 	 7391
1829_03_04_3485.huff 	 6894 	 6722 	 1128
1829_05_11_3631.huff 	 1941 	 2348 	 402
1829_12_08_3632.huff 	 33699 	 61903 	 10568
1830_10_05_3633.huff 	 2550 	 4812 	 846
1830_12_06_3634.huff 	 40130 	 88827 	 15043
1831_12_06_3635.huff 	 25197 	 42221 	 7211
1832_07_10_3636.huff 	 21464 	 46421 	 8138
1832_12_04_3637.huff 	 26963 	 46153 	 7903
1833_03_04_3639.huff 	 6268 	 6946 	 1176
1833_12_03_3640.huff 	 24475 	 46194 	 7930
1834_12_01_3641.huff 	 37900 	 79060 	 13514
1835_12_07_3642.huff 	 32257 	 63520 	 10864
1836_12_05_3643.huff 	 34944 	 72318 	 12428
1837_03_04_3486.huff 	 18074 	 23066 	 3846
1837_03_04_3644.huff 	 26524 	 47766 	 8254
1837_09_04_3724.huff 	 30917 	 69051 	 11785
1837_12_05_3589.huff 	 34240 	 67914 	 11513
1838_01_05_3725.huff 	 2398 	 2348 	 396
1838_12_03_3591.huff 	 34763 	 68824 	 11558
1839_12_02_3592.huff 	 38381 	 78957 	 13492
1840_12_05_3593.huff 	 30849 	 54157 	 9014
1841_01_02_3726.huff 	 4517 	 5047 	 882
1841_03_04_3548.huff 	 26848 	 48991 	 8465
1841_12_07_3549.huff 	 29207 	 48129 	 8295
1845_03_04_3550.huff 	 18205 	 28267 	 4814
1849_03_05_3551.huff 	 6430 	 6504 	 1091
1850_12_02_3552.huff 	 29787 	 49039 	 8373
1852_07_06_3487.huff 	 22276 	 60149 	 10878
1853_03_04_3553.huff 	 15973 	 19750 	 3342
1853_12_05_3728.huff 	 33598 	 57134 	 9677
1854_01_18_3727.huff 	 1806 	 1619 	 271
1854_10_16_3503.huff 	 35992 	 181760 	 33420
1854_12_04_3729.huff 	 35566 	 60991 	 10213
1855_12_31_3730.huff 	 36025 	 69350 	 11672
1856_12_02_3731.huff 	 33640 	 62898 	 10567
1857_03_04_3554.huff 	 12342 	 16532 	 2836
1857_12_08_3732.huff 	 37551 	 80636 	 13775
1858_06_16_3504.huff 	 12216 	 17778 	 3226
1858_12_06_3733.huff 	 42668 	 96899 	 16505
1859_12_19_3734.huff 	 35725 	 72729 	 12513
1860_02_27_3505.huff 	 16852 	 34825 	 6164
1860_12_03_3735.huff 	 38277 	 82815 	 14150
1861_02_11_3506.huff 	 1073 	 776 	 152
1861_03_04_3507.huff 	 14080 	 41212 	 7272
1861_07_04_3508.huff 	 20664 	 71328 	 12572
1861_12_03_3736.huff 	 26376 	 40806 	 7052
1862_12_01_3737.huff 	 30166 	 48876 	 8550
1863_01_01_3509.huff 	 3448 	 4146 	 711
1863_08_26_3510.huff 	 7741 	 17822 	 3396
1863_11_19_3511.huff 	 1556 	 1421 	 272
1863_12_08_3738.huff 	 25089 	 36487 	 6221
1864_12_06_3739.huff 	 25429 	 34799 	 5997
1865_03_04_3512.huff 	 4321 	 3849 	 705
1865_12_04_3555.huff 	 30765 	 53861 	 9294
1869_03_04_3556.huff 	 6128 	 6379 	 1132
1869_12_06_3740.huff 	 27054 	 45152 	 7777
1870_12_05_3741.huff 	 31458 	 51175 	 8847
1871_12_04_3742.huff 	 24542 	 38083 	 6476
1872_12_02_3743.huff 	 34975 	 60356 	 10410
1873_03_04_3557.huff 	 6761 	 7578 	 1341
1873_12_01_3744.huff 	 34431 	 59270 	 10156
1874_12_07_3745.huff 	 31725 	 57804 	 9889
1875_12_07_3746.huff 	 37521 	 71928 	 12324
1876_12_05_3747.huff 	 24934 	 40126 	 6860
1877_03_05_3558.huff 	 10954 	 14676 	 2494
1877_12_03_3748.huff 	 34498 	 63915 	 10862
1878_12_02_3749.huff 	 29818 	 47668 	 8037
1879_12_01_3750.huff 	 36019 	 69987 	 11801
1880_12_06_3751.huff 	 42475 	 80960 	 13593
1881_03_04_3559.huff 	 13540 	 17494 	 2993
1881_12_06_3560.huff 	 46820 	 80527 	 13710
1882_12_04_3752.huff 	 38662 	 61739 	 10519
1883_12_04_3753.huff 	 34546 	 51361 	 8681
1884_12_01_3754.huff 	 34956 	 54237 	 9112
1885_03_04_3571.huff 	 8791 	 9990 	 1691
1885_12_08_3755.huff 	 57079 	 119104 	 19979
1886_12_06_3756.huff 	 46820 	 91414 	 15374
1887_12_06_3757.huff 	 19929 	 31173 	 5365
1888_12_03_3758.huff 	 46157 	 80055 	 13434
1889_03_04_3561.huff 	 18791 	 25858 	 4407
1889_12_03_3765.huff 	 40240 	 76723 	 13143
1890_12_01_3766.huff 	 37446 	 68497 	 11675
1891_12_09_3767.huff 	 45293 	 95438 	 16536
1892_12_06_3768.huff 	 42618 	 80454 	 14111
1893_03_04_3572.huff 	 11334 	 12214 	 2028
1893_08_08_3759.huff 	 10187 	 12221 	 2104
