old-100
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 7665 	 8520 	 1433
1789_10_03_3447.huff 	 2459 	 2500 	 435
1790_01_08_3448.huff 	 4731 	 5197 	 848
1790_12_08_3449.huff 	 7098 	 8256 	 1400
1790_12_29_3450.huff 	 5561 	 7727 	 1401
1791_10_25_3451.huff 	 9904 	 13669 	 2267
1792_04_05_3452.huff 	 865 	 966 	 156
1792_11_06_3938.huff 	 10211 	 13927 	 2358
1792_12_12_3453.huff 	 1396 	 1122 	 190
1793_03_04_3454.huff 	 999 	 776 	 136
1793_04_22_3455.huff 	 1411 	 1395 	 237
1793_12_03_3456.huff 	 9672 	 11444 	 1973
1794_08_07_3721.huff 	 6121 	 7626 	 1284
1794_09_25_3458.huff 	 4120 	 3992 	 653
1794_11_19_3459.huff 	 14639 	 17327 	 2927
1795_07_10_3460.huff 	 2024 	 2314 	 382
1795_12_08_3939.huff 	 10052 	 11992 	 1977
1796_03_30_3461.huff 	 4548 	 6261 	 1065
1796_08_29_3941.huff 	 6164 	 8537 	 1602
1796_09_19_3462.huff 	 23312 	 36045 	 6074
1796_12_07_3463.huff 	 12468 	 17030 	 2865
1797_03_04_3445.huff 	 10320 	 13603 	 2322
1797_05_16_3464.huff 	 12327 	 18104 	 3025
1797_11_22_3465.huff 	 8816 	 12172 	 2049
1798_03_23_3942.huff 	 3818 	 3910 	 655
1798_12_08_3466.huff 	 10049 	 13185 	 2218
1799_12_03_3467.huff 	 7118 	 9010 	 1494
1799_12_19_3943.huff 	 6546 	 7302 	 1265
1800_05_21_3944.huff 	 1808 	 1740 	 291
1800_11_22_3468.huff 	 6589 	 8215 	 1374
1801_03_04_3469.huff 	 8839 	 9923 	 1732
1801_07_12_3470.huff 	 6052 	 6877 	 1211
1801_12_08_3471.huff 	 13547 	 19077 	 3235
1802_01_01_3473.huff 	 1612 	 1400 	 234
1802_11_03_3474.huff 	 4380 	 4891 	 914
1802_12_15_3475.huff 	 9659 	 12351 	 2125
1803_01_18_3476.huff 	 6675 	 7605 	 1284
1803_06_20_3477.huff 	 10482 	 13360 	 2345
1803_10_17_3478.huff 	 10286 	 13931 	 2301
1803_12_17_3479.huff 	 4888 	 5859 	 1140
1804_11_08_3480.huff 	 8996 	 12375 	 2100
1805_03_04_3491.huff 	 10170 	 12609 	 2152
1805_12_03_3493.huff 	 12220 	 16679 	 2902
1805_12_06_3492.huff 	 4962 	 5803 	 993
