old-1
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 16626 	 8520 	 1433
1789_10_03_3447.huff 	 5055 	 2500 	 435
1790_01_08_3448.huff 	 9913 	 5197 	 848
1790_12_08_3449.huff 	 16308 	 8256 	 1400
1790_12_29_3450.huff 	 16192 	 7727 	 1401
1791_10_25_3451.huff 	 25530 	 13669 	 2267
1792_04_05_3452.huff 	 1770 	 966 	 156
1792_11_06_3938.huff 	 26778 	 13927 	 2358
1792_12_12_3453.huff 	 2244 	 1122 	 190
1793_03_04_3454.huff 	 1562 	 776 	 136
1793_04_22_3455.huff 	 2730 	 1395 	 237
1793_12_03_3456.huff 	 22641 	 11444 	 1973
1794_08_07_3721.huff 	 14714 	 7626 	 1284
1794_09_25_3458.huff 	 7726 	 3992 	 653
1794_11_19_3459.huff 	 33065 	 17327 	 2927
1795_07_10_3460.huff 	 4468 	 2314 	 382
1795_12_08_3939.huff 	 22872 	 11992 	 1977
1796_03_30_3461.huff 	 12238 	 6261 	 1065
1796_08_29_3941.huff 	 18501 	 8537 	 1602
1796_09_19_3462.huff 	 66174 	 36045 	 6074
1796_12_07_3463.huff 	 32200 	 17030 	 2865
1797_03_04_3445.huff 	 26464 	 13603 	 2322
1797_05_16_3464.huff 	 34050 	 18104 	 3025
1797_11_22_3465.huff 	 23453 	 12172 	 2049
1798_03_23_3942.huff 	 7654 	 3910 	 655
1798_12_08_3466.huff 	 25228 	 13185 	 2218
1799_12_03_3467.huff 	 17179 	 9010 	 1494
1799_12_19_3943.huff 	 14947 	 7302 	 1265
1800_05_21_3944.huff 	 3386 	 1740 	 291
1800_11_22_3468.huff 	 16009 	 8215 	 1374
1801_03_04_3469.huff 	 20221 	 9923 	 1732
1801_07_12_3470.huff 	 14288 	 6877 	 1211
1801_12_08_3471.huff 	 36794 	 19077 	 3235
1802_01_01_3473.huff 	 2742 	 1400 	 234
1802_11_03_3474.huff 	 10781 	 4891 	 914
1802_12_15_3475.huff 	 24593 	 12351 	 2125
1803_01_18_3476.huff 	 15124 	 7605 	 1284
1803_06_20_3477.huff 	 26842 	 13360 	 2345
1803_10_17_3478.huff 	 26395 	 13931 	 2301
1803_12_17_3479.huff 	 13416 	 5859 	 1140
1804_11_08_3480.huff 	 24089 	 12375 	 2100
1805_03_04_3491.huff 	 24887 	 12609 	 2152
1805_12_03_3493.huff 	 33047 	 16679 	 2902
1805_12_06_3492.huff 	 11804 	 5803 	 993
1806_01_10_3494.huff 	 9988 	 4381 	 847
1806_11_27_3722.huff 	 4931 	 2562 	 425
1806_12_02_3495.huff 	 32788 	 16947 	 2881
1806_12_30_3496.huff 	 13702 	 5982 	 1175
1807_01_22_3497.huff 	 28045 	 14464 	 2478
1807_02_10_3498.huff 	 13506 	 6567 	 1143
1807_07_02_3499.huff 	 13609 	 6817 	 1174
1807_10_27_3500.huff 	 27266 	 13939 	 2373
1808_11_08_3501.huff 	 30722 	 16092 	 2710
1809_03_04_3482.huff 	 13757 	 6905 	 1177
1809_04_03_3502.huff 	 3895 	 1863 	 337
1809_05_23_3607.huff 	 13009 	 6514 	 1116
1809_11_29_3608.huff 	 20995 	 10868 	 1832
1810_10_27_3610.huff 	 7168 	 3654 	 624
1810_12_05_3609.huff 	 27822 	 14772 	 2451
1811_02_21_3611.huff 	 3844 	 2062 	 335
1811_11_05_3613.huff 	 25996 	 13690 	 2275
1812_06_01_3614.huff 	 32162 	 17228 	 2851
1812_06_19_3615.huff 	 3311 	 1674 	 289
1812_07_09_3616.huff 	 3608 	 1808 	 311
1812_11_04_3619.huff 	 36398 	 19251 	 3251
1813_03_04_3620.huff 	 14233 	 7055 	 1211
1813_05_25_3621.huff 	 24134 	 12168 	 2111
1813_07_23_3622.huff 	 9323 	 4624 	 799
1813_12_07_3623.huff 	 36398 	 19136 	 3262
1814_09_01_3624.huff 	 8160 	 4141 	 696
1814_09_20_3625.huff 	 24353 	 12363 	 2115
1815_01_30_3626.huff 	 14435 	 7358 	 1281
1815_02_18_3627.huff 	 9674 	 4958 	 829
1815_12_05_3628.huff 	 35539 	 19107 	 3186
1816_12_03_3629.huff 	 37409 	 19976 	 3370
1817_03_03_3630.huff 	 9255 	 4856 	 815
1817_03_04_3483.huff 	 37780 	 19556 	 3379
1817_12_02_3594.huff 	 48294 	 25759 	 4447
1818_11_16_3596.huff 	 47722 	 25970 	 4378
1819_12_07_3597.huff 	 50651 	 27356 	 4711
1820_11_14_3598.huff 	 38705 	 20068 	 3464
1821_03_05_3601.huff 	 49406 	 25884 	 4482
1821_07_04_3484.huff 	 5236 	 2603 	 447
1821_12_03_3602.huff 	 62379 	 33708 	 5858
1822_12_03_3603.huff 	 51651 	 27660 	 4765
1823_12_02_3604.huff 	 68484 	 37578 	 6423
1824_12_07_3606.huff 	 87669 	 48968 	 8444
1825_03_04_3513.huff 	 32369 	 17489 	 2917
1825_12_06_3514.huff 	 93854 	 53039 	 9088
1826_12_05_3515.huff 	 81788 	 45626 	 7848
1827_12_04_3516.huff 	 74015 	 41545 	 7058
1828_12_02_3517.huff 	 77439 	 43365 	 7391
1829_03_04_3485.huff 	 13154 	 6722 	 1128
1829_05_11_3631.huff 	 4554 	 2348 	 402
1829_12_08_3632.huff 	 109196 	 61903 	 10568
1830_10_05_3633.huff 	 9397 	 4812 	 846
1830_12_06_3634.huff 	 150887 	 88827 	 15043
1831_12_06_3635.huff 	 76939 	 42221 	 7211
1832_07_10_3636.huff 	 83443 	 46421 	 8138
1832_12_04_3637.huff 	 82907 	 46153 	 7903
1833_03_04_3639.huff 	 13744 	 6946 	 1176
1833_12_03_3640.huff 	 82744 	 46194 	 7930
1834_12_01_3641.huff 	 136414 	 79060 	 13514
1835_12_07_3642.huff 	 110860 	 63520 	 10864
1836_12_05_3643.huff 	 125259 	 72318 	 12428
1837_03_04_3486.huff 	 43693 	 23066 	 3846
1837_03_04_3644.huff 	 87123 	 47766 	 8254
1837_09_04_3724.huff 	 119165 	 69051 	 11785
1837_12_05_3589.huff 	 117922 	 67914 	 11513
1838_01_05_3725.huff 	 4537 	 2348 	 396
1838_12_03_3591.huff 	 118065 	 68824 	 11558
1839_12_02_3592.huff 	 137023 	 78957 	 13492
1840_12_05_3593.huff 	 94981 	 54157 	 9014
1841_01_02_3726.huff 	 10269 	 5047 	 882
1841_03_04_3548.huff 	 87652 	 48991 	 8465
1841_12_07_3549.huff 	 87654 	 48129 	 8295
1845_03_04_3550.huff 	 52396 	 28267 	 4814
1849_03_05_3551.huff 	 12750 	 6504 	 1091
1850_12_02_3552.huff 	 88498 	 49039 	 8373
1852_07_06_3487.huff 	 113060 	 60149 	 10878
1853_03_04_3553.huff 	 38035 	 19750 	 3342
1853_12_05_3728.huff 	 101019 	 57134 	 9677
1854_01_18_3727.huff 	 3177 	 1619 	 271
1854_10_16_3503.huff 	 317852 	 181760 	 33420
1854_12_04_3729.huff 	 107217 	 60991 	 10213
1855_12_31_3730.huff 	 118695 	 69350 	 11672
1856_12_02_3731.huff 	 108075 	 62898 	 10567
1857_03_04_3554.huff 	 32069 	 16532 	 2836
1857_12_08_3732.huff 	 140260 	 80636 	 13775
1858_06_16_3504.huff 	 36382 	 17778 	 3226
1858_12_06_3733.huff 	 165957 	 96899 	 16505
1859_12_19_3734.huff 	 128929 	 72729 	 12513
1860_02_27_3505.huff 	 66147 	 34825 	 6164
1860_12_03_3735.huff 	 143173 	 82815 	 14150
1861_02_11_3506.huff 	 1798 	 776 	 152
1861_03_04_3507.huff 	 76276 	 41212 	 7272
1861_07_04_3508.huff 	 126004 	 71328 	 12572
1861_12_03_3736.huff 	 76361 	 40806 	 7052
1862_12_01_3737.huff 	 92514 	 48876 	 8550
1863_01_01_3509.huff 	 8243 	 4146 	 711
1863_08_26_3510.huff 	 37958 	 17822 	 3396
1863_11_19_3511.huff 	 3240 	 1421 	 272
1863_12_08_3738.huff 	 68127 	 36487 	 6221
1864_12_06_3739.huff 	 66032 	 34799 	 5997
1865_03_04_3512.huff 	 8429 	 3849 	 705
1865_12_04_3555.huff 	 95745 	 53861 	 9294
1869_03_04_3556.huff 	 13468 	 6379 	 1132
1869_12_06_3740.huff 	 82607 	 45152 	 7777
1870_12_05_3741.huff 	 94041 	 51175 	 8847
1871_12_04_3742.huff 	 69716 	 38083 	 6476
1872_12_02_3743.huff 	 108495 	 60356 	 10410
1873_03_04_3557.huff 	 15756 	 7578 	 1341
1873_12_01_3744.huff 	 106280 	 59270 	 10156
1874_12_07_3745.huff 	 103157 	 57804 	 9889
1875_12_07_3746.huff 	 127094 	 71928 	 12324
1876_12_05_3747.huff 	 72985 	 40126 	 6860
1877_03_05_3558.huff 	 28109 	 14676 	 2494
1877_12_03_3748.huff 	 111916 	 63915 	 10862
1878_12_02_3749.huff 	 85569 	 47668 	 8037
1879_12_01_3750.huff 	 120978 	 69987 	 11801
1880_12_06_3751.huff 	 138035 	 80960 	 13593
1881_03_04_3559.huff 	 33763 	 17494 	 2993
1881_12_06_3560.huff 	 143114 	 80527 	 13710
1882_12_04_3752.huff 	 111408 	 61739 	 10519
1883_12_04_3753.huff 	 94194 	 51361 	 8681
1884_12_01_3754.huff 	 96623 	 54237 	 9112
1885_03_04_3571.huff 	 19234 	 9990 	 1691
1885_12_08_3755.huff 	 197920 	 119104 	 19979
