recent-2
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 15361 	 8520 	 1433
1789_10_03_3447.huff 	 4610 	 2500 	 435
1790_01_08_3448.huff 	 9031 	 5197 	 848
1790_12_08_3449.huff 	 14847 	 8256 	 1400
1790_12_29_3450.huff 	 14614 	 7727 	 1401
1791_10_25_3451.huff 	 23790 	 13669 	 2267
1792_04_05_3452.huff 	 1640 	 966 	 156
1792_11_06_3938.huff 	 24828 	 13927 	 2358
1792_12_12_3453.huff 	 2072 	 1122 	 190
1793_03_04_3454.huff 	 1457 	 776 	 136
1793_04_22_3455.huff 	 2554 	 1395 	 237
1793_12_03_3456.huff 	 20845 	 11444 	 1973
1794_08_07_3721.huff 	 13660 	 7626 	 1284
1794_09_25_3458.huff 	 7078 	 3992 	 653
1794_11_19_3459.huff 	 30954 	 17327 	 2927
1795_07_10_3460.huff 	 4195 	 2314 	 382
1795_12_08_3939.huff 	 21133 	 11992 	 1977
1796_03_30_3461.huff 	 11057 	 6261 	 1065
1796_08_29_3941.huff 	 16773 	 8537 	 1602
1796_09_19_3462.huff 	 62899 	 36045 	 6074
1796_12_07_3463.huff 	 30110 	 17030 	 2865
1797_03_04_3445.huff 	 24363 	 13603 	 2322
1797_05_16_3464.huff 	 31539 	 18104 	 3025
1797_11_22_3465.huff 	 21669 	 12172 	 2049
1798_03_23_3942.huff 	 7002 	 3910 	 655
1798_12_08_3466.huff 	 23334 	 13185 	 2218
1799_12_03_3467.huff 	 15770 	 9010 	 1494
1799_12_19_3943.huff 	 13719 	 7302 	 1265
1800_05_21_3944.huff 	 3157 	 1740 	 291
1800_11_22_3468.huff 	 14473 	 8215 	 1374
1801_03_04_3469.huff 	 18402 	 9923 	 1732
1801_07_12_3470.huff 	 12939 	 6877 	 1211
1801_12_08_3471.huff 	 33993 	 19077 	 3235
1802_01_01_3473.huff 	 2572 	 1400 	 234
1802_11_03_3474.huff 	 9634 	 4891 	 914
1802_12_15_3475.huff 	 22635 	 12351 	 2125
1803_01_18_3476.huff 	 13734 	 7605 	 1284
1803_06_20_3477.huff 	 25012 	 13360 	 2345
1803_10_17_3478.huff 	 24587 	 13931 	 2301
1803_12_17_3479.huff 	 11853 	 5859 	 1140
1804_11_08_3480.huff 	 22168 	 12375 	 2100
1805_03_04_3491.huff 	 23086 	 12609 	 2152
1805_12_03_3493.huff 	 30659 	 16679 	 2902
1805_12_06_3492.huff 	 10632 	 5803 	 993
1806_01_10_3494.huff 	 8938 	 4381 	 847
1806_11_27_3722.huff 	 4572 	 2562 	 425
1806_12_02_3495.huff 	 30330 	 16947 	 2881
1806_12_30_3496.huff 	 12048 	 5982 	 1175
1807_01_22_3497.huff 	 26155 	 14464 	 2478
1807_02_10_3498.huff 	 12319 	 6567 	 1143
1807_07_02_3499.huff 	 12449 	 6817 	 1174
1807_10_27_3500.huff 	 25291 	 13939 	 2373
1808_11_08_3501.huff 	 28594 	 16092 	 2710
1809_03_04_3482.huff 	 12576 	 6905 	 1177
1809_04_03_3502.huff 	 3619 	 1863 	 337
1809_05_23_3607.huff 	 11806 	 6514 	 1116
1809_11_29_3608.huff 	 19343 	 10868 	 1832
1810_10_27_3610.huff 	 6563 	 3654 	 624
1810_12_05_3609.huff 	 25873 	 14772 	 2451
1811_02_21_3611.huff 	 3584 	 2062 	 335
1811_11_05_3613.huff 	 24173 	 13690 	 2275
1812_06_01_3614.huff 	 30186 	 17228 	 2851
1812_06_19_3615.huff 	 3085 	 1674 	 289
1812_07_09_3616.huff 	 3359 	 1808 	 311
1812_11_04_3619.huff 	 34025 	 19251 	 3251
1813_03_04_3620.huff 	 12916 	 7055 	 1211
1813_05_25_3621.huff 	 22292 	 12168 	 2111
1813_07_23_3622.huff 	 8472 	 4624 	 799
1813_12_07_3623.huff 	 34078 	 19136 	 3262
1814_09_01_3624.huff 	 7490 	 4141 	 696
1814_09_20_3625.huff 	 22695 	 12363 	 2115
1815_01_30_3626.huff 	 13306 	 7358 	 1281
1815_02_18_3627.huff 	 8823 	 4958 	 829
1815_12_05_3628.huff 	 33166 	 19107 	 3186
1816_12_03_3629.huff 	 34842 	 19976 	 3370
1817_03_03_3630.huff 	 8482 	 4856 	 815
1817_03_04_3483.huff 	 34944 	 19556 	 3379
1817_12_02_3594.huff 	 45242 	 25759 	 4447
1818_11_16_3596.huff 	 44855 	 25970 	 4378
1819_12_07_3597.huff 	 47515 	 27356 	 4711
1820_11_14_3598.huff 	 35879 	 20068 	 3464
1821_03_05_3601.huff 	 46169 	 25884 	 4482
1821_07_04_3484.huff 	 4853 	 2603 	 447
1821_12_03_3602.huff 	 58401 	 33708 	 5858
1822_12_03_3603.huff 	 47994 	 27660 	 4765
1823_12_02_3604.huff 	 64314 	 37578 	 6423
1824_12_07_3606.huff 	 83199 	 48968 	 8444
1825_03_04_3513.huff 	 30080 	 17489 	 2917
1825_12_06_3514.huff 	 89322 	 53039 	 9088
1826_12_05_3515.huff 	 77599 	 45626 	 7848
1827_12_04_3516.huff 	 70446 	 41545 	 7058
1828_12_02_3517.huff 	 73626 	 43365 	 7391
1829_03_04_3485.huff 	 11985 	 6722 	 1128
1829_05_11_3631.huff 	 4231 	 2348 	 402
1829_12_08_3632.huff 	 105215 	 61903 	 10568
1830_10_05_3633.huff 	 8669 	 4812 	 846
1830_12_06_3634.huff 	 146949 	 88827 	 15043
1831_12_06_3635.huff 	 72482 	 42221 	 7211
1832_07_10_3636.huff 	 78933 	 46421 	 8138
1832_12_04_3637.huff 	 78655 	 46153 	 7903
1833_03_04_3639.huff 	 12428 	 6946 	 1176
1833_12_03_3640.huff 	 78319 	 46194 	 7930
1834_12_01_3641.huff 	 131897 	 79060 	 13514
1835_12_07_3642.huff 	 106477 	 63520 	 10864
1836_12_05_3643.huff 	 120435 	 72318 	 12428
1837_03_04_3486.huff 	 40524 	 23066 	 3846
1837_03_04_3644.huff 	 82271 	 47766 	 8254
1837_09_04_3724.huff 	 114834 	 69051 	 11785
1837_12_05_3589.huff 	 112818 	 67914 	 11513
1838_01_05_3725.huff 	 4209 	 2348 	 396
1838_12_03_3591.huff 	 113251 	 68824 	 11558
1839_12_02_3592.huff 	 132743 	 78957 	 13492
1840_12_05_3593.huff 	 90391 	 54157 	 9014
1841_01_02_3726.huff 	 9395 	 5047 	 882
1841_03_04_3548.huff 	 83265 	 48991 	 8465
1841_12_07_3549.huff 	 83274 	 48129 	 8295
1845_03_04_3550.huff 	 48911 	 28267 	 4814
1849_03_05_3551.huff 	 11597 	 6504 	 1091
1850_12_02_3552.huff 	 84192 	 49039 	 8373
1852_07_06_3487.huff 	 107319 	 60149 	 10878
1853_03_04_3553.huff 	 35471 	 19750 	 3342
1853_12_05_3728.huff 	 97117 	 57134 	 9677
1854_01_18_3727.huff 	 2936 	 1619 	 271
1854_10_16_3503.huff 	 321596 	 181760 	 33420
1854_12_04_3729.huff 	 103197 	 60991 	 10213
1855_12_31_3730.huff 	 114119 	 69350 	 11672
1856_12_02_3731.huff 	 103482 	 62898 	 10567
1857_03_04_3554.huff 	 29790 	 16532 	 2836
1857_12_08_3732.huff 	 136309 	 80636 	 13775
1858_06_16_3504.huff 	 33686 	 17778 	 3226
1858_12_06_3733.huff 	 163525 	 96899 	 16505
1859_12_19_3734.huff 	 124722 	 72729 	 12513
1860_02_27_3505.huff 	 61519 	 34825 	 6164
1860_12_03_3735.huff 	 139255 	 82815 	 14150
1861_02_11_3506.huff 	 1635 	 776 	 152
1861_03_04_3507.huff 	 71396 	 41212 	 7272
1861_07_04_3508.huff 	 120820 	 71328 	 12572
1861_12_03_3736.huff 	 71834 	 40806 	 7052
1862_12_01_3737.huff 	 87409 	 48876 	 8550
