recent-10
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 14892 	 8520 	 1433
1789_10_03_3447.huff 	 4408 	 2500 	 435
1790_01_08_3448.huff 	 8680 	 5197 	 848
1790_12_08_3449.huff 	 14357 	 8256 	 1400
1790_12_29_3450.huff 	 14139 	 7727 	 1401
1791_10_25_3451.huff 	 23075 	 13669 	 2267
1792_04_05_3452.huff 	 1585 	 966 	 156
1792_11_06_3938.huff 	 24145 	 13927 	 2358
1792_12_12_3453.huff 	 1991 	 1122 	 190
1793_03_04_3454.huff 	 1390 	 776 	 136
1793_04_22_3455.huff 	 2452 	 1395 	 237
1793_12_03_3456.huff 	 20140 	 11444 	 1973
1794_08_07_3721.huff 	 13276 	 7626 	 1284
1794_09_25_3458.huff 	 6802 	 3992 	 653
1794_11_19_3459.huff 	 30185 	 17327 	 2927
1795_07_10_3460.huff 	 4089 	 2314 	 382
1795_12_08_3939.huff 	 20440 	 11992 	 1977
1796_03_30_3461.huff 	 10683 	 6261 	 1065
1796_08_29_3941.huff 	 16206 	 8537 	 1602
1796_09_19_3462.huff 	 62440 	 36045 	 6074
1796_12_07_3463.huff 	 29363 	 17030 	 2865
1797_03_04_3445.huff 	 23733 	 13603 	 2322
1797_05_16_3464.huff 	 30920 	 18104 	 3025
1797_11_22_3465.huff 	 20997 	 12172 	 2049
1798_03_23_3942.huff 	 6725 	 3910 	 655
1798_12_08_3466.huff 	 22631 	 13185 	 2218
1799_12_03_3467.huff 	 15192 	 9010 	 1494
1799_12_19_3943.huff 	 13321 	 7302 	 1265
1800_05_21_3944.huff 	 3055 	 1740 	 291
1800_11_22_3468.huff 	 14016 	 8215 	 1374
1801_03_04_3469.huff 	 17712 	 9923 	 1732
1801_07_12_3470.huff 	 12498 	 6877 	 1211
1801_12_08_3471.huff 	 33343 	 19077 	 3235
1802_01_01_3473.huff 	 2470 	 1400 	 234
1802_11_03_3474.huff 	 9224 	 4891 	 914
1802_12_15_3475.huff 	 21930 	 12351 	 2125
1803_01_18_3476.huff 	 13265 	 7605 	 1284
1803_06_20_3477.huff 	 24490 	 13360 	 2345
1803_10_17_3478.huff 	 23862 	 13931 	 2301
1803_12_17_3479.huff 	 11376 	 5859 	 1140
1804_11_08_3480.huff 	 21467 	 12375 	 2100
1805_03_04_3491.huff 	 22354 	 12609 	 2152
1805_12_03_3493.huff 	 29729 	 16679 	 2902
1805_12_06_3492.huff 	 10320 	 5803 	 993
1806_01_10_3494.huff 	 8535 	 4381 	 847
1806_11_27_3722.huff 	 4400 	 2562 	 425
1806_12_02_3495.huff 	 29609 	 16947 	 2881
1806_12_30_3496.huff 	 11520 	 5982 	 1175
1807_01_22_3497.huff 	 25477 	 14464 	 2478
1807_02_10_3498.huff 	 11939 	 6567 	 1143
1807_07_02_3499.huff 	 12063 	 6817 	 1174
1807_10_27_3500.huff 	 24583 	 13939 	 2373
1808_11_08_3501.huff 	 27728 	 16092 	 2710
1809_03_04_3482.huff 	 12042 	 6905 	 1177
1809_04_03_3502.huff 	 3447 	 1863 	 337
1809_05_23_3607.huff 	 11406 	 6514 	 1116
1809_11_29_3608.huff 	 18720 	 10868 	 1832
1810_10_27_3610.huff 	 6318 	 3654 	 624
1810_12_05_3609.huff 	 25139 	 14772 	 2451
1811_02_21_3611.huff 	 3466 	 2062 	 335
1811_11_05_3613.huff 	 23483 	 13690 	 2275
