old-100
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 13579 	 8520 	 1433
1789_10_03_3447.huff 	 4006 	 2500 	 435
1790_01_08_3448.huff 	 7695 	 5197 	 848
1790_12_08_3449.huff 	 12747 	 8256 	 1400
1790_12_29_3450.huff 	 13001 	 7727 	 1401
1791_10_25_3451.huff 	 20456 	 13669 	 2267
1792_04_05_3452.huff 	 1419 	 966 	 156
1792_11_06_3938.huff 	 21657 	 13927 	 2358
1792_12_12_3453.huff 	 1797 	 1122 	 190
1793_03_04_3454.huff 	 1265 	 776 	 136
1793_04_22_3455.huff 	 2127 	 1395 	 237
1793_12_03_3456.huff 	 17960 	 11444 	 1973
1794_08_07_3721.huff 	 11986 	 7626 	 1284
1794_09_25_3458.huff 	 6194 	 3992 	 653
1794_11_19_3459.huff 	 27500 	 17327 	 2927
1795_07_10_3460.huff 	 3760 	 2314 	 382
1795_12_08_3939.huff 	 18359 	 11992 	 1977
1796_03_30_3461.huff 	 9450 	 6261 	 1065
1796_08_29_3941.huff 	 15272 	 8537 	 1602
1796_09_19_3462.huff 	 58190 	 36045 	 6074
1796_12_07_3463.huff 	 26307 	 17030 	 2865
1797_03_04_3445.huff 	 21615 	 13603 	 2322
1797_05_16_3464.huff 	 27783 	 18104 	 3025
1797_11_22_3465.huff 	 18739 	 12172 	 2049
1798_03_23_3942.huff 	 6142 	 3910 	 655
1798_12_08_3466.huff 	 20243 	 13185 	 2218
1799_12_03_3467.huff 	 13459 	 9010 	 1494
1799_12_19_3943.huff 	 12690 	 7302 	 1265
1800_05_21_3944.huff 	 2816 	 1740 	 291
1800_11_22_3468.huff 	 12398 	 8215 	 1374
1801_03_04_3469.huff 	 16525 	 9923 	 1732
1801_07_12_3470.huff 	 11558 	 6877 	 1211
1801_12_08_3471.huff 	 30240 	 19077 	 3235
1802_01_01_3473.huff 	 2249 	 1400 	 234
1802_11_03_3474.huff 	 8612 	 4891 	 914
1802_12_15_3475.huff 	 19816 	 12351 	 2125
1803_01_18_3476.huff 	 12027 	 7605 	 1284
1803_06_20_3477.huff 	 22649 	 13360 	 2345
1803_10_17_3478.huff 	 21359 	 13931 	 2301
1803_12_17_3479.huff 	 10822 	 5859 	 1140
1804_11_08_3480.huff 	 19086 	 12375 	 2100
1805_03_04_3491.huff 	 20535 	 12609 	 2152
1805_12_03_3493.huff 	 26955 	 16679 	 2902
1805_12_06_3492.huff 	 9277 	 5803 	 993
1806_01_10_3494.huff 	 8202 	 4381 	 847
1806_11_27_3722.huff 	 3950 	 2562 	 425
1806_12_02_3495.huff 	 26691 	 16947 	 2881
1806_12_30_3496.huff 	 11209 	 5982 	 1175
1807_01_22_3497.huff 	 23282 	 14464 	 2478
1807_02_10_3498.huff 	 10781 	 6567 	 1143
1807_07_02_3499.huff 	 10685 	 6817 	 1174
1807_10_27_3500.huff 	 22067 	 13939 	 2373
1808_11_08_3501.huff 	 24835 	 16092 	 2710
1809_03_04_3482.huff 	 10910 	 6905 	 1177
1809_04_03_3502.huff 	 3224 	 1863 	 337
1809_05_23_3607.huff 	 9981 	 6514 	 1116
1809_11_29_3608.huff 	 16604 	 10868 	 1832
1810_10_27_3610.huff 	 5598 	 3654 	 624
1810_12_05_3609.huff 	 22262 	 14772 	 2451
1811_02_21_3611.huff 	 3137 	 2062 	 335
1811_11_05_3613.huff 	 20857 	 13690 	 2275
1812_06_01_3614.huff 	 26631 	 17228 	 2851
1812_06_19_3615.huff 	 2622 	 1674 	 289
1812_07_09_3616.huff 	 2922 	 1808 	 311
1812_11_04_3619.huff 	 30124 	 19251 	 3251
1813_03_04_3620.huff 	 11398 	 7055 	 1211
1813_05_25_3621.huff 	 19325 	 12168 	 2111
1813_07_23_3622.huff 	 7394 	 4624 	 799
1813_12_07_3623.huff 	 30161 	 19136 	 3262
1814_09_01_3624.huff 	 6498 	 4141 	 696
1814_09_20_3625.huff 	 20120 	 12363 	 2115
1815_01_30_3626.huff 	 11495 	 7358 	 1281
1815_02_18_3627.huff 	 7569 	 4958 	 829
1815_12_05_3628.huff 	 29058 	 19107 	 3186
1816_12_03_3629.huff 	 30428 	 19976 	 3370
1817_03_03_3630.huff 	 7226 	 4856 	 815
1817_03_04_3483.huff 	 31021 	 19556 	 3379
1817_12_02_3594.huff 	 39977 	 25759 	 4447
1818_11_16_3596.huff 	 39969 	 25970 	 4378
1819_12_07_3597.huff 	 42353 	 27356 	 4711
1820_11_14_3598.huff 	 31501 	 20068 	 3464
1821_03_05_3601.huff 	 41015 	 25884 	 4482
1821_07_04_3484.huff 	 4443 	 2603 	 447
1821_12_03_3602.huff 	 52646 	 33708 	 5858
1822_12_03_3603.huff 	 43072 	 27660 	 4765
1823_12_02_3604.huff 	 58404 	 37578 	 6423
1824_12_07_3606.huff 	 76087 	 48968 	 8444
1825_03_04_3513.huff 	 26753 	 17489 	 2917
1825_12_06_3514.huff 	 82837 	 53039 	 9088
1826_12_05_3515.huff 	 71111 	 45626 	 7848
1827_12_04_3516.huff 	 64096 	 41545 	 7058
1828_12_02_3517.huff 	 67263 	 43365 	 7391
1829_03_04_3485.huff 	 10399 	 6722 	 1128
1829_05_11_3631.huff 	 3607 	 2348 	 402
1829_12_08_3632.huff 	 97401 	 61903 	 10568
1830_10_05_3633.huff 	 7515 	 4812 	 846
1830_12_06_3634.huff 	 138047 	 88827 	 15043
1831_12_06_3635.huff 	 66094 	 42221 	 7211
1832_07_10_3636.huff 	 74155 	 46421 	 8138
1832_12_04_3637.huff 	 71900 	 46153 	 7903
1833_03_04_3639.huff 	 10837 	 6946 	 1176
1833_12_03_3640.huff 	 71768 	 46194 	 7930
1834_12_01_3641.huff 	 124414 	 79060 	 13514
1835_12_07_3642.huff 	 99667 	 63520 	 10864
1836_12_05_3643.huff 	 114040 	 72318 	 12428
1837_03_04_3486.huff 	 37413 	 23066 	 3846
1837_03_04_3644.huff 	 77490 	 47766 	 8254
1837_09_04_3724.huff 	 109311 	 69051 	 11785
1837_12_05_3589.huff 	 106293 	 67914 	 11513
1838_01_05_3725.huff 	 3569 	 2348 	 396
1838_12_03_3591.huff 	 106608 	 68824 	 11558
1839_12_02_3592.huff 	 126147 	 78957 	 13492
1840_12_05_3593.huff 	 84046 	 54157 	 9014
1841_01_02_3726.huff 	 8432 	 5047 	 882
1841_03_04_3548.huff 	 77994 	 48991 	 8465
1841_12_07_3549.huff 	 77293 	 48129 	 8295
1845_03_04_3550.huff 	 44737 	 28267 	 4814
1849_03_05_3551.huff 	 10101 	 6504 	 1091
1850_12_02_3552.huff 	 77820 	 49039 	 8373
1852_07_06_3487.huff 	 107722 	 60149 	 10878
1853_03_04_3553.huff 	 32346 	 19750 	 3342
1853_12_05_3728.huff 	 90875 	 57134 	 9677
1854_01_18_3727.huff 	 2533 	 1619 	 271
1854_10_16_3503.huff 	 318186 	 181760 	 33420
1854_12_04_3729.huff 	 96990 	 60991 	 10213
1855_12_31_3730.huff 	 108184 	 69350 	 11672
1856_12_02_3731.huff 	 97680 	 62898 	 10567
1857_03_04_3554.huff 	 26538 	 16532 	 2836
1857_12_08_3732.huff 	 130196 	 80636 	 13775
1858_06_16_3504.huff 	 31917 	 17778 	 3226
1858_12_06_3733.huff 	 155947 	 96899 	 16505
1859_12_19_3734.huff 	 119227 	 72729 	 12513
1860_02_27_3505.huff 	 60266 	 34825 	 6164
1860_12_03_3735.huff 	 133043 	 82815 	 14150
1861_02_11_3506.huff 	 1505 	 776 	 152
1861_03_04_3507.huff 	 69092 	 41212 	 7272
1861_07_04_3508.huff 	 118368 	 71328 	 12572
1861_12_03_3736.huff 	 67248 	 40806 	 7052
1862_12_01_3737.huff 	 83685 	 48876 	 8550
1863_01_01_3509.huff 	 6769 	 4146 	 711
1863_08_26_3510.huff 	 33476 	 17822 	 3396
1863_11_19_3511.huff 	 2700 	 1421 	 272
1863_12_08_3738.huff 	 59595 	 36487 	 6221
1864_12_06_3739.huff 	 58124 	 34799 	 5997
1865_03_04_3512.huff 	 7001 	 3849 	 705
1865_12_04_3555.huff 	 85872 	 53861 	 9294
1869_03_04_3556.huff 	 10814 	 6379 	 1132
1869_12_06_3740.huff 	 73114 	 45152 	 7777
1870_12_05_3741.huff 	 84007 	 51175 	 8847
1871_12_04_3742.huff 	 60732 	 38083 	 6476
1872_12_02_3743.huff 	 100038 	 60356 	 10410
1873_03_04_3557.huff 	 12597 	 7578 	 1341
1873_12_01_3744.huff 	 97254 	 59270 	 10156
1874_12_07_3745.huff 	 93357 	 57804 	 9889
1875_12_07_3746.huff 	 117045 	 71928 	 12324
1876_12_05_3747.huff 	 64446 	 40126 	 6860
1877_03_05_3558.huff 	 23138 	 14676 	 2494
1877_12_03_3748.huff 	 101860 	 63915 	 10862
1878_12_02_3749.huff 	 76390 	 47668 	 8037
1879_12_01_3750.huff 	 110950 	 69987 	 11801
1880_12_06_3751.huff 	 129370 	 80960 	 13593
1881_03_04_3559.huff 	 28332 	 17494 	 2993
1881_12_06_3560.huff 	 134200 	 80527 	 13710
1882_12_04_3752.huff 	 103046 	 61739 	 10519
1883_12_04_3753.huff 	 85740 	 51361 	 8681
1884_12_01_3754.huff 	 88849 	 54237 	 9112
1885_03_04_3571.huff 	 15770 	 9990 	 1691
1885_12_08_3755.huff 	 192046 	 119104 	 19979
1886_12_06_3756.huff 	 147396 	 91414 	 15374
1887_12_06_3757.huff 	 51818 	 31173 	 5365
1888_12_03_3758.huff 	 130549 	 80055 	 13434
1889_03_04_3561.huff 	 42502 	 25858 	 4407
1889_12_03_3765.huff 	 125248 	 76723 	 13143
1890_12_01_3766.huff 	 112793 	 68497 	 11675
1891_12_09_3767.huff 	 158020 	 95438 	 16536
1892_12_06_3768.huff 	 137967 	 80454 	 14111
1893_03_04_3572.huff 	 19921 	 12214 	 2028
1893_08_08_3759.huff 	 20535 	 12221 	 2104
1893_12_04_3760.huff 	 126314 	 75480 	 12681
1894_12_03_3762.huff 	 161846 	 96239 	 16370
1895_12_02_3763.huff 	 145968 	 88452 	 14868
1896_12_07_3764.huff 	 157322 	 93353 	 15901
1897_03_04_3562.huff 	 37663 	 23247 	 3977
1897_12_06_3769.huff 	 116488 	 71532 	 12225
1898_12_05_3770.huff 	 201497 	 121684 	 20533
1899_12_05_3771.huff 	 222423 	 137444 	 23065
1900_12_03_3772.huff 	 190450 	 116387 	 19479
1901_03_04_3563.huff 	 21321 	 13190 	 2225
1901_12_03_3773.huff 	 191909 	 113948 	 19736
1902_12_02_3774.huff 	 95648 	 56737 	 9838
1903_12_07_3775.huff 	 145660 	 88561 	 15059
1904_12_06_3776.huff 	 171387 	 102379 	 17559
1905_03_04_3564.huff 	 9602 	 5471 	 991
1905_12_05_3777.huff 	 243634 	 145178 	 25168
1906_12_03_3778.huff 	 230985 	 135848 	 23725
1907_12_03_3779.huff 	 267573 	 159425 	 27581
1908_12_09_3780.huff 	 191871 	 113651 	 19565
1909_03_04_3565.huff 	 51555 	 31728 	 5442
1909_11_17_3781.huff 	 76311 	 43497 	 7878
1909_12_07_3782.huff 	 132196 	 83523 	 13985
1910_12_06_3783.huff 	 272270 	 165510 	 28272
1911_01_26_3784.huff 	 22696 	 13874 	 2294
1911_12_05_3785.huff 	 231276 	 141324 	 23994
1912_12_03_3786.huff 	 243619 	 150971 	 25409
1913_03_04_3566.huff 	 16998 	 9371 	 1712
1913_07_04_3787.huff 	 12692 	 6716 	 1267
1913_10_25_3788.huff 	 19421 	 10553 	 1956
1913_12_02_3789.huff 	 34051 	 20203 	 3567
1914_01_20_3790.huff 	 24518 	 14764 	 2523
1914_08_20_3791.huff 	 6062 	 3517 	 632
1914_10_20_3792.huff 	 10286 	 5704 	 1078
1914_12_08_3793.huff 	 43411 	 24912 	 4548
1915_12_07_3794.huff 	 75676 	 44028 	 7772
1916_09_02_3795.huff 	 53822 	 31612 	 5537
1916_12_05_3796.huff 	 20124 	 12584 	 2127
1917_01_22_3797.huff 	 25395 	 14958 	 2685
1917_03_05_3567.huff 	 14500 	 8248 	 1531
1917_04_02_4722.huff 	 35328 	 20662 	 3679
1917_04_06_3798.huff 	 14410 	 8770 	 1541
1917_12_04_3799.huff 	 37762 	 21693 	 3935
1918_12_02_3801.huff 	 53076 	 30929 	 5495
1919_12_02_3802.huff 	 46533 	 28090 	 4773
1920_12_07_3803.huff 	 26023 	 15879 	 2744
1921_03_04_3568.huff 	 34304 	 19866 	 3346
1921_12_06_3804.huff 	 56310 	 33673 	 5652
1922_12_08_3805.huff 	 58257 	 34829 	 5786
