old-2
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1789_04_30_3446.huff 	 16381 	 8520 	 1433
1789_10_03_3447.huff 	 4958 	 2500 	 435
1790_01_08_3448.huff 	 9872 	 5197 	 848
1790_12_08_3449.huff 	 16038 	 8256 	 1400
1790_12_29_3450.huff 	 15883 	 7727 	 1401
1791_10_25_3451.huff 	 25376 	 13669 	 2267
1792_04_05_3452.huff 	 1789 	 966 	 156
1792_11_06_3938.huff 	 26658 	 13927 	 2358
1792_12_12_3453.huff 	 2251 	 1122 	 190
1793_03_04_3454.huff 	 1573 	 776 	 136
1793_04_22_3455.huff 	 2750 	 1395 	 237
1793_12_03_3456.huff 	 22401 	 11444 	 1973
1794_08_07_3721.huff 	 14486 	 7626 	 1284
1794_09_25_3458.huff 	 7777 	 3992 	 653
1794_11_19_3459.huff 	 32910 	 17327 	 2927
1795_07_10_3460.huff 	 4514 	 2314 	 382
1795_12_08_3939.huff 	 22623 	 11992 	 1977
1796_03_30_3461.huff 	 12070 	 6261 	 1065
1796_08_29_3941.huff 	 18302 	 8537 	 1602
1796_09_19_3462.huff 	 66050 	 36045 	 6074
1796_12_07_3463.huff 	 32077 	 17030 	 2865
1797_03_04_3445.huff 	 26334 	 13603 	 2322
1797_05_16_3464.huff 	 33799 	 18104 	 3025
1797_11_22_3465.huff 	 23312 	 12172 	 2049
1798_03_23_3942.huff 	 7605 	 3910 	 655
1798_12_08_3466.huff 	 25096 	 13185 	 2218
1799_12_03_3467.huff 	 16995 	 9010 	 1494
1799_12_19_3943.huff 	 14796 	 7302 	 1265
1800_05_21_3944.huff 	 3411 	 1740 	 291
1800_11_22_3468.huff 	 15651 	 8215 	 1374
1801_03_04_3469.huff 	 19905 	 9923 	 1732
1801_07_12_3470.huff 	 14172 	 6877 	 1211
1801_12_08_3471.huff 	 36547 	 19077 	 3235
1802_01_01_3473.huff 	 2761 	 1400 	 234
1802_11_03_3474.huff 	 10679 	 4891 	 914
1802_12_15_3475.huff 	 24411 	 12351 	 2125
1803_01_18_3476.huff 	 14839 	 7605 	 1284
1803_06_20_3477.huff 	 26719 	 13360 	 2345
1803_10_17_3478.huff 	 26327 	 13931 	 2301
1803_12_17_3479.huff 	 13237 	 5859 	 1140
1804_11_08_3480.huff 	 23812 	 12375 	 2100
1805_03_04_3491.huff 	 24726 	 12609 	 2152
1805_12_03_3493.huff 	 32732 	 16679 	 2902
1805_12_06_3492.huff 	 11667 	 5803 	 993
1806_01_10_3494.huff 	 9918 	 4381 	 847
1806_11_27_3722.huff 	 4969 	 2562 	 425
1806_12_02_3495.huff 	 32653 	 16947 	 2881
1806_12_30_3496.huff 	 13507 	 5982 	 1175
1807_01_22_3497.huff 	 27967 	 14464 	 2478
1807_02_10_3498.huff 	 13354 	 6567 	 1143
1807_07_02_3499.huff 	 13504 	 6817 	 1174
1807_10_27_3500.huff 	 27196 	 13939 	 2373
1808_11_08_3501.huff 	 30607 	 16092 	 2710
1809_03_04_3482.huff 	 13589 	 6905 	 1177
1809_04_03_3502.huff 	 3912 	 1863 	 337
1809_05_23_3607.huff 	 12834 	 6514 	 1116
1809_11_29_3608.huff 	 20801 	 10868 	 1832
1810_10_27_3610.huff 	 7207 	 3654 	 624
1810_12_05_3609.huff 	 27444 	 14772 	 2451
1811_02_21_3611.huff 	 3889 	 2062 	 335
1811_11_05_3613.huff 	 25806 	 13690 	 2275
1812_06_01_3614.huff 	 31836 	 17228 	 2851
1812_06_19_3615.huff 	 3315 	 1674 	 289
1812_07_09_3616.huff 	 3612 	 1808 	 311
1812_11_04_3619.huff 	 36347 	 19251 	 3251
1813_03_04_3620.huff 	 14112 	 7055 	 1211
1813_05_25_3621.huff 	 23875 	 12168 	 2111
1813_07_23_3622.huff 	 9250 	 4624 	 799
1813_12_07_3623.huff 	 36303 	 19136 	 3262
1814_09_01_3624.huff 	 8183 	 4141 	 696
1814_09_20_3625.huff 	 24241 	 12363 	 2115
1815_01_30_3626.huff 	 14324 	 7358 	 1281
1815_02_18_3627.huff 	 9624 	 4958 	 829
1815_12_05_3628.huff 	 35405 	 19107 	 3186
1816_12_03_3629.huff 	 37255 	 19976 	 3370
1817_03_03_3630.huff 	 9238 	 4856 	 815
1817_03_04_3483.huff 	 37478 	 19556 	 3379
1817_12_02_3594.huff 	 48172 	 25759 	 4447
1818_11_16_3596.huff 	 47606 	 25970 	 4378
1819_12_07_3597.huff 	 50353 	 27356 	 4711
1820_11_14_3598.huff 	 38515 	 20068 	 3464
1821_03_05_3601.huff 	 49297 	 25884 	 4482
1821_07_04_3484.huff 	 5268 	 2603 	 447
1821_12_03_3602.huff 	 62000 	 33708 	 5858
1822_12_03_3603.huff 	 51252 	 27660 	 4765
1823_12_02_3604.huff 	 68324 	 37578 	 6423
1824_12_07_3606.huff 	 87592 	 48968 	 8444
1825_03_04_3513.huff 	 32164 	 17489 	 2917
1825_12_06_3514.huff 	 93642 	 53039 	 9088
1826_12_05_3515.huff 	 81621 	 45626 	 7848
1827_12_04_3516.huff 	 73730 	 41545 	 7058
1828_12_02_3517.huff 	 77291 	 43365 	 7391
1829_03_04_3485.huff 	 13047 	 6722 	 1128
1829_05_11_3631.huff 	 4598 	 2348 	 402
1829_12_08_3632.huff 	 108829 	 61903 	 10568
1830_10_05_3633.huff 	 9434 	 4812 	 846
1830_12_06_3634.huff 	 150160 	 88827 	 15043
1831_12_06_3635.huff 	 76670 	 42221 	 7211
1832_07_10_3636.huff 	 83271 	 46421 	 8138
1832_12_04_3637.huff 	 82791 	 46153 	 7903
1833_03_04_3639.huff 	 13601 	 6946 	 1176
1833_12_03_3640.huff 	 82549 	 46194 	 7930
1834_12_01_3641.huff 	 135693 	 79060 	 13514
1835_12_07_3642.huff 	 110383 	 63520 	 10864
1836_12_05_3643.huff 	 124994 	 72318 	 12428
1837_03_04_3486.huff 	 43515 	 23066 	 3846
1837_03_04_3644.huff 	 86789 	 47766 	 8254
1837_09_04_3724.huff 	 118948 	 69051 	 11785
1837_12_05_3589.huff 	 117514 	 67914 	 11513
1838_01_05_3725.huff 	 4568 	 2348 	 396
1838_12_03_3591.huff 	 117713 	 68824 	 11558
1839_12_02_3592.huff 	 136637 	 78957 	 13492
1840_12_05_3593.huff 	 94934 	 54157 	 9014
1841_01_02_3726.huff 	 10263 	 5047 	 882
1841_03_04_3548.huff 	 87452 	 48991 	 8465
1841_12_07_3549.huff 	 87524 	 48129 	 8295
1845_03_04_3550.huff 	 51971 	 28267 	 4814
1849_03_05_3551.huff 	 12579 	 6504 	 1091
1850_12_02_3552.huff 	 88369 	 49039 	 8373
1852_07_06_3487.huff 	 112491 	 60149 	 10878
1853_03_04_3553.huff 	 37801 	 19750 	 3342
1853_12_05_3728.huff 	 100871 	 57134 	 9677
1854_01_18_3727.huff 	 3192 	 1619 	 271
1854_10_16_3503.huff 	 317898 	 181760 	 33420
1854_12_04_3729.huff 	 107054 	 60991 	 10213
1855_12_31_3730.huff 	 118553 	 69350 	 11672
1856_12_02_3731.huff 	 107836 	 62898 	 10567
1857_03_04_3554.huff 	 31992 	 16532 	 2836
1857_12_08_3732.huff 	 139299 	 80636 	 13775
1858_06_16_3504.huff 	 36238 	 17778 	 3226
1858_12_06_3733.huff 	 165631 	 96899 	 16505
1859_12_19_3734.huff 	 128331 	 72729 	 12513
1860_02_27_3505.huff 	 65569 	 34825 	 6164
1860_12_03_3735.huff 	 142918 	 82815 	 14150
1861_02_11_3506.huff 	 1819 	 776 	 152
1861_03_04_3507.huff 	 76046 	 41212 	 7272
1861_07_04_3508.huff 	 125746 	 71328 	 12572
1861_12_03_3736.huff 	 76247 	 40806 	 7052
1862_12_01_3737.huff 	 92489 	 48876 	 8550
1863_01_01_3509.huff 	 8228 	 4146 	 711
1863_08_26_3510.huff 	 37806 	 17822 	 3396
1863_11_19_3511.huff 	 3257 	 1421 	 272
1863_12_08_3738.huff 	 67781 	 36487 	 6221
1864_12_06_3739.huff 	 65628 	 34799 	 5997
1865_03_04_3512.huff 	 8470 	 3849 	 705
1865_12_04_3555.huff 	 95660 	 53861 	 9294
1869_03_04_3556.huff 	 13276 	 6379 	 1132
1869_12_06_3740.huff 	 82495 	 45152 	 7777
1870_12_05_3741.huff 	 93862 	 51175 	 8847
1871_12_04_3742.huff 	 69093 	 38083 	 6476
1872_12_02_3743.huff 	 108285 	 60356 	 10410
1873_03_04_3557.huff 	 15604 	 7578 	 1341
1873_12_01_3744.huff 	 105963 	 59270 	 10156
1874_12_07_3745.huff 	 103029 	 57804 	 9889
1875_12_07_3746.huff 	 126445 	 71928 	 12324
1876_12_05_3747.huff 	 72834 	 40126 	 6860
1877_03_05_3558.huff 	 27735 	 14676 	 2494
1877_12_03_3748.huff 	 111598 	 63915 	 10862
1878_12_02_3749.huff 	 84635 	 47668 	 8037
1879_12_01_3750.huff 	 120764 	 69987 	 11801
1880_12_06_3751.huff 	 137735 	 80960 	 13593
1881_03_04_3559.huff 	 33520 	 17494 	 2993
1881_12_06_3560.huff 	 142923 	 80527 	 13710
1882_12_04_3752.huff 	 110893 	 61739 	 10519
1883_12_04_3753.huff 	 93768 	 51361 	 8681
1884_12_01_3754.huff 	 96557 	 54237 	 9112
1885_03_04_3571.huff 	 19052 	 9990 	 1691
