recent-300
FILE 	 HUFFSIZE 	 ORIGINAL SIZE 	 WORDSIZE
1816_12_03_3629.huff 	 33296 	 19976 	 3370
1817_03_03_3630.huff 	 7943 	 4856 	 815
1817_03_04_3483.huff 	 32982 	 19556 	 3379
1817_12_02_3594.huff 	 43670 	 25759 	 4447
1818_11_16_3596.huff 	 43693 	 25970 	 4378
1819_12_07_3597.huff 	 46361 	 27356 	 4711
1820_11_14_3598.huff 	 34317 	 20068 	 3464
1821_03_05_3601.huff 	 44213 	 25884 	 4482
1821_07_04_3484.huff 	 4612 	 2603 	 447
1821_12_03_3602.huff 	 57863 	 33708 	 5858
1822_12_03_3603.huff 	 46976 	 27660 	 4765
1823_12_02_3604.huff 	 63601 	 37578 	 6423
1824_12_07_3606.huff 	 82831 	 48968 	 8444
1825_03_04_3513.huff 	 28596 	 17489 	 2917
1825_12_06_3514.huff 	 89851 	 53039 	 9088
1826_12_05_3515.huff 	 77195 	 45626 	 7848
1827_12_04_3516.huff 	 70440 	 41545 	 7058
1828_12_02_3517.huff 	 73325 	 43365 	 7391
1829_03_04_3485.huff 	 11171 	 6722 	 1128
1829_05_11_3631.huff 	 4019 	 2348 	 402
1829_12_08_3632.huff 	 104799 	 61903 	 10568
1830_10_05_3633.huff 	 8422 	 4812 	 846
1830_12_06_3634.huff 	 148424 	 88827 	 15043
1831_12_06_3635.huff 	 71502 	 42221 	 7211
1832_07_10_3636.huff 	 79320 	 46421 	 8138
1832_12_04_3637.huff 	 77417 	 46153 	 7903
1833_03_04_3639.huff 	 11347 	 6946 	 1176
1833_12_03_3640.huff 	 77612 	 46194 	 7930
1834_12_01_3641.huff 	 133365 	 79060 	 13514
1835_12_07_3642.huff 	 106176 	 63520 	 10864
1836_12_05_3643.huff 	 121641 	 72318 	 12428
1837_03_04_3486.huff 	 39054 	 23066 	 3846
1837_03_04_3644.huff 	 81083 	 47766 	 8254
1837_09_04_3724.huff 	 116582 	 69051 	 11785
1837_12_05_3589.huff 	 113928 	 67914 	 11513
1838_01_05_3725.huff 	 3893 	 2348 	 396
1838_12_03_3591.huff 	 114389 	 68824 	 11558
1839_12_02_3592.huff 	 134337 	 78957 	 13492
1840_12_05_3593.huff 	 90058 	 54157 	 9014
1841_01_02_3726.huff 	 8871 	 5047 	 882
1841_03_04_3548.huff 	 82341 	 48991 	 8465
1841_12_07_3549.huff 	 82569 	 48129 	 8295
1845_03_04_3550.huff 	 47342 	 28267 	 4814
1849_03_05_3551.huff 	 10702 	 6504 	 1091
1850_12_02_3552.huff 	 83259 	 49039 	 8373
1852_07_06_3487.huff 	 109732 	 60149 	 10878
1853_03_04_3553.huff 	 33569 	 19750 	 3342
1853_12_05_3728.huff 	 96900 	 57134 	 9677
1854_01_18_3727.huff 	 2710 	 1619 	 271
1854_10_16_3503.huff 	 324140 	 181760 	 33420
1854_12_04_3729.huff 	 103404 	 60991 	 10213
1855_12_31_3730.huff 	 115622 	 69350 	 11672
1856_12_02_3731.huff 	 104236 	 62898 	 10567
1857_03_04_3554.huff 	 27807 	 16532 	 2836
1857_12_08_3732.huff 	 137984 	 80636 	 13775
1858_06_16_3504.huff 	 32193 	 17778 	 3226
1858_12_06_3733.huff 	 165251 	 96899 	 16505
1859_12_19_3734.huff 	 126050 	 72729 	 12513
1860_02_27_3505.huff 	 60694 	 34825 	 6164
1860_12_03_3735.huff 	 140945 	 82815 	 14150
